iter	MultiClass
0	0.9639728723
1	0.8579462836
2	0.7747056932
3	0.7097907682
4	0.6449633554
5	0.5862227136
6	0.537268366
7	0.483124169
8	0.4475049892
9	0.412177921
10	0.3775266327
11	0.3513657418
12	0.3204031508
13	0.2968963083
14	0.2746601367
15	0.2574283385
16	0.2390961109
17	0.2196350653
18	0.2036260843
19	0.1909085483
20	0.174897209
21	0.1653968624
22	0.1557064496
23	0.148234231
24	0.1391251848
25	0.1323123702
26	0.1220780887
27	0.1146569988
28	0.1082975771
29	0.1029912676
30	0.09643359218
31	0.09009979544
32	0.08393429951
33	0.07979633021
34	0.07536098468
35	0.07277636215
36	0.06878020041
37	0.06484849104
38	0.06112038179
39	0.05736060927
40	0.05448807376
41	0.05095642246
42	0.04800872
43	0.04526725025
44	0.04282905281
45	0.04042960796
46	0.0388571313
47	0.03700769381
48	0.03474749465
49	0.03266096799
50	0.03055868039
51	0.02889995642
52	0.02738250722
53	0.02596618131
54	0.02472971438
55	0.02359684679
56	0.02220854094
57	0.02114708782
58	0.019981651
59	0.01925193912
60	0.01841661091
61	0.01749706223
62	0.01670709864
63	0.0158215471
64	0.01531230052
65	0.01480251618
66	0.01405040285
67	0.01349283174
68	0.01288128048
69	0.01219121775
70	0.01172737352
71	0.01135802682
72	0.01078802342
73	0.01043417136
74	0.01002746499
75	0.009658851304
76	0.009425434855
77	0.009188453435
78	0.008801681234
79	0.008428379307
80	0.00808885842
81	0.007839954436
82	0.007525135995
83	0.007205408727
84	0.006914993206
85	0.006654695505
86	0.006387857763
87	0.006159129943
88	0.005969701167
89	0.005795897218
90	0.005583706291
91	0.005446785639
92	0.00529292971
93	0.00511762497
94	0.004948478945
95	0.004804480929
96	0.004665228273
97	0.004525820587
98	0.004398661376
99	0.004264083414
