Unnamed: 0,이미지 이름,text_rate,title_rate,part_1,part_2,part_3,part_4,part_5,part_6,part_7,part_8,part_9,part_10,part_11,part_12
182,극한직업.jpg,0.521744587992198,0.0647344274596462,1,1,1,0,0,0,0,0,0,0,0,0
183,글래스.jpg,0.158183682983683,0.0429463869463869,0,0,0,0,1,1,0,1,1,0,0,0
184,글러브.jpg,0.294570255170188,0.0863052662176356,1,1,1,1,1,1,0,0,0,0,0,0
185,글로리데이.jpg,0.181120265646313,0.0261515650269859,0,0,0,0,1,1,0,0,0,0,0,0
186,기묘한 가족.jpg,0.367821754385965,0.0626273684210526,1,1,1,0,0,0,0,0,0,0,0,0
187,기방도령.jpg,0.357504282144161,0.186936150924021,0,0,0,0,0,0,1,1,1,1,1,1
188,기생충.jpg,0.0920230745244777,0.0366043030869972,0,1,1,0,0,0,0,0,0,0,0,0
189,기적.jpg,0.348788558524115,0.0624540033669224,0,0,0,0,1,0,0,1,0,0,0,0
190,기적을 믿는 소녀.jpg,0.269272144005474,0.0795390885682866,1,1,1,0,1,0,0,0,0,0,0,0
191,길.jpg,0.314679761487198,0.234582602595581,0,1,1,0,1,1,0,1,1,0,0,0
192,까밀 리와인드.jpg,0.298481519592847,0.137583930024775,0,0,0,0,0,0,1,1,1,1,1,1
193,깡철이.jpg,0.248565138565139,0.120979020979021,0,1,1,0,1,1,0,0,0,0,0,0
194,꼬마 니콜라의 여름방학.jpg,0.411114175478606,0.197736855587896,1,1,1,1,1,1,0,0,0,0,0,0
195,꿈은 이루어진다.jpg,0.563644727530077,0.282576079263977,1,1,1,1,1,1,0,0,0,0,0,0
196,꿈의 제인.jpg,0.643367267791352,0.611363195656389,0,0,0,1,1,1,1,1,1,1,1,1
197,끝까지 간다.jpg,0.817012258788043,0.477492555783286,1,1,1,1,1,1,1,1,1,0,0,0
198,"나, 다니엘 블레이크.jpg",0.216498362056687,0.0410653753026634,1,1,1,0,0,0,0,0,0,0,0,0
199,나는 공무원이다.jpg,0.541272531611515,0.132835620123756,1,1,0,1,1,0,0,0,0,0,0,0
200,나는 나를 해고하지 않는다.jpg,0.27238791423002,0.221513157894737,0,0,0,1,1,1,1,1,1,0,0,0
201,나는 부정한다.jpg,0.234774655050779,0.0563144985316074,1,1,1,0,0,0,0,0,0,0,0,0
202,나는 아빠다.jpg,0.57068044788975,0.267855297157623,1,1,1,1,1,1,0,0,0,0,0,0
203,나를 미치게 하는 여자.jpg,0.217755807711992,0.0872347141305685,0,0,0,0,0,0,0,0,0,1,1,1
204,나를 죽여줘.jpg,0.141151854443667,0.0370328901329601,0,0,0,0,1,1,0,0,0,0,0,0
205,나를 차버린 스파이.jpg,0.262224065275227,0.140852794902271,0,0,0,1,1,1,1,1,1,0,0,0
206,나쁜 녀석들- 포에버.jpg,0.323604810674159,0.118516290415419,0,0,0,1,1,1,0,0,0,0,0,0
207,나쁜 이웃들.jpg,0.287751246500974,0.089690978481639,0,0,0,0,0,0,0,0,0,1,1,1
208,나쁜놈은 죽는다.jpg,0.288277570940697,0.124982353490722,1,1,1,1,1,1,0,0,0,0,0,0
209,나우이즈굿.jpg,0.349549942852292,0.078122584107177,0,0,0,1,1,1,0,0,0,0,0,0
210,나의 그리스식 웨딩 2.jpg,0.245521284019539,0.122878576413119,0,0,0,0,0,0,0,1,1,0,1,1
211,나의 독재자.jpg,0.229103987006458,0.0989133377160757,1,1,1,0,0,0,0,0,0,0,0,0
212,"나의 사랑, 그리스.jpg",0.130987365465606,0.0618936203400406,0,1,1,0,0,0,0,0,0,0,0,0
213,나의 산티아고.jpg,0.371582159538754,0.175437436140709,1,1,1,1,1,1,0,0,0,0,0,0
214,나의 올드 오크.jpg,0.257040853265996,0.0578954032273884,1,1,0,0,0,0,0,0,0,0,0,0
215,"나의 위대한 친구, 세잔.jpg",0.206264058515537,0.0411964681651712,1,1,1,0,0,0,0,0,0,0,0,0
216,나의 작은 시인에게.jpg,0.164008107265357,0.0737829747427502,0,0,0,0,0,0,0,1,1,0,1,1
217,나의 첫 번째 슈퍼스타.jpg,0.356728573650646,0.1895616736662,1,1,1,1,1,1,1,1,1,0,1,0
218,나의 특별한 형제.jpg,0.265577622377622,0.102862470862471,0,0,0,0,0,0,0,1,1,0,1,1
219,나의 피투성이 연인.jpg,0.176762771168649,0.0857599720083975,1,1,1,0,0,0,0,0,0,0,0,0
220,나이트 헌터.jpg,0.223571725940637,0.0705227165700948,1,1,1,0,0,0,0,0,0,0,0,0
221,나이트폴.jpg,0.276654571843251,0.0927688679245283,0,0,0,1,1,1,1,1,1,0,0,0
222,나잇&데이.jpg,0.507160493827161,0.223548500881834,0,0,0,0,0,0,1,1,1,1,1,1
223,난 그녀와 키스했다.jpg,0.224120416490682,0.0844116870085243,1,1,1,0,0,0,0,0,0,0,0,0
224,남매의 여름밤.jpg,0.12038099985757,0.0799052841475573,0,0,0,0,0,0,0,0,0,1,1,1
225,남산의 부장들.jpg,0.132671023628137,0.0553029892880622,1,1,1,0,0,0,0,0,0,0,0,0
226,남영동1985.jpg,0.235942395426813,0.100401863964773,1,1,1,0,0,0,0,0,0,0,0,0
227,남자사용설명서.jpg,0.278612273361228,0.147029288702929,1,1,1,1,1,1,0,0,0,0,0,0
228,남쪽으로 튀어.jpg,0.555821749889991,0.227116489027196,1,1,1,1,1,1,0,0,0,0,0,0
229,낫아웃.jpg,0.143904539073468,0.0680555295585712,1,1,1,0,0,0,0,0,0,0,0,0
230,낮과 달.jpg,0.0985578571428571,0.0909621428571429,1,1,0,0,0,0,0,0,0,0,0,0
231,내 깡패 같은 애인.jpg,0.32125746947259,0.167186282151208,0,1,1,0,1,1,0,0,0,0,0,0
232,내 남자의 순이.jpg,0.238703997182603,0.185421729177672,1,1,1,1,1,1,0,0,0,0,0,0
233,내 사랑.jpg,0.135569047526973,0.0162048029699524,0,0,0,0,0,0,0,1,0,0,1,0
234,내 슬픈 창녀들의 추억.jpg,0.275664736842105,0.11239298245614,0,0,0,1,1,1,1,1,1,0,0,0
235,내 심장을 쏴라.jpg,0.21822958953752,0.159725873032792,1,1,0,1,1,0,0,0,0,0,0,0
236,내 아내의 모든 것.jpg,0.286144055944056,0.145703496503497,0,1,1,0,1,1,0,0,0,0,0,0
237,"내 어깨 위 고양이, 밥.jpg",0.541826713467051,0.052833996830342,0,1,1,0,0,0,0,0,0,0,0,0
238,내 여자친구의 결혼식.jpg,0.479695633376567,0.205118028534371,0,0,0,0,0,0,1,1,1,1,1,1
239,내 이름은 칸.jpg,0.27101203113942,0.107940552016985,1,1,1,1,1,1,0,0,0,0,0,0
240,내 인생의 마지막 변화구.jpg,0.205709623333423,0.0675746354526245,0,0,0,0,0,0,0,0,0,0,1,1
241,내가 사는 피부.jpg,0.286580851993977,0.0852479720211784,1,1,1,1,1,1,0,0,0,0,0,0
242,내가 살인범이다.jpg,0.203843618323718,0.0841968715158475,0,1,1,0,1,0,0,0,0,0,0,0
243,내가 죽기 전에 가장 듣고 싶은 말.jpg,0.161281129570258,0.0653680494834677,1,1,1,0,0,0,0,0,0,0,0,0
244,내가 죽던 날.jpg,0.150699825174825,0.0871536713286713,0,0,0,0,0,0,0,1,1,0,1,1
