,영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
17,로맨틱 크라운,https://www.kobis.or.kr/upload/up_img/2011/08/mov_GB7JA2_20110809135647_1.jpg,로맨틱 크라운.jpg,20112117,"장편 | 일반영화 | 멜로/로맨스, 코미디 | 99분 0초 | 12세이상관람가 | 미국","필름,2D",[주연] 줄리아 로버츠(메르세데스 테이노 ) | 구구 바샤-로 | 톰 행크스(래리 크라운 ) | 윌머 발더라마
18,안나,https://www.kobis.or.kr/common/mast/movie/2019/08/645ebe27366849acb6c0398bbf041fdf.jpg,안나.jpg,20194384,장편 | 일반영화 | 액션 | 118분 57초 | 15세이상관람가 | 프랑스,2D,[주연] 사샤 루스 | 킬리언 머피 | 루크 에반스 | 헬렌 미렌
19,해피 뉴 이어,https://www.kobis.or.kr/common/mast/movie/2021/12/406e9890154a409890c078cae2e50176.jpg,해피 뉴 이어.jpg,20217807,"장편 | 일반영화 | 멜로/로맨스, 드라마 | 137분 37초 | 12세이상관람가 | 한국",2D,[주연] 한지민(소진) | 이동욱(용진) | 강하늘(재용) | 임윤아(수연) | 원진아(이영) | 이혜영(캐서린) | 정진영(상규) | 김영광(승효) | 서강준(이강) | 이광수(상훈) | 고성희(영주) | 이진욱(진호) | 조준영(세직) | 원지안(아영)
20,터키,https://www.kobis.or.kr/common/mast/movie/2014/07/a5e12808f06048b29b8207e025100dd7.jpg,터키.jpg,20149758,"장편 | 일반영화 | 애니메이션, 코미디 | 91분 27초 | 전체관람가 | 미국","필름,2D,3D,4D",[주연] 우디 해럴슨 | 오웬 윌슨
21,고스트버스터즈 라이즈,https://www.kobis.or.kr/common/mast/movie/2021/11/3589d83ca9e244269070ca2755cda058.jpg,고스트버스터즈 라이즈.jpg,20196763,"장편 | 일반영화 | 어드벤처, 미스터리, 액션 | 123분 45초 | 12세이상관람가 | 미국","2D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 핀 울프하드 | 맥케나 그레이스 | 폴 러드
22,극장판 도라에몽 : 진구의 우주영웅기~스페이스 히어로즈~,https://www.kobis.or.kr/common/mast/movie/2015/08/5311376bb9ae434280f832e46065c819.jpg,극장판 도라에몽 - 진구의 우주영웅기~스페이스 히어로즈~.jpg,20153470,"장편 | 일반영화 | 애니메이션, SF, 어드벤처 | 100분 29초 | 전체관람가 | 일본","필름,2D",[주연] 미즈타 와사비 | 오오하라 메구미
23,미라클 벨리에,https://www.kobis.or.kr/common/mast/movie/2015/08/048922dfec5e4df08ddcadcbe2bcd4eb.jpg,미라클 벨리에.jpg,20155874,장편 | 예술영화 | 드라마 | 105분 25초 | 12세이상관람가 | 프랑스,"필름,2D",[주연] 로앤 에머라 | 카렝 비야 | 프랑소아 다미앙 | 에릭 엘모스니노
24,다이노소어 어드벤처 : 백악기 공룡대백과,https://www.kobis.or.kr/common/mast/movie/2016/04/4e580a500fa2480fb62ea2d0e61da091.jpg,다이노소어 어드벤처 - 백악기 공룡대백과.jpg,20162542,"장편 | 예술영화 | 애니메이션, 액션, 가족 | 83분 45초 | 전체관람가 | 영국","2D,3D",
25,배우는 배우다,https://www.kobis.or.kr/common/mast/movie/2013/09/5b20d203445246c489807fa6598437e0.jpg,배우는 배우다.jpg,20134124,장편 | 일반영화 | 드라마 | 97분 56초 | 청소년관람불가 | 한국,"필름,2D",[주연] 이준(오영) | 서영희(선물여자) | 강신효
26,"안녕, 나의 소녀",https://www.kobis.or.kr/common/mast/movie/2018/05/1fde615cea2d47d8a38202663c0b7247.jpg,"안녕, 나의 소녀.jpg",20182046,장편 | 예술영화 | 멜로/로맨스 | 104분 21초 | 12세이상관람가 | 대만,2D,[주연] 류이호(정샹) | 송운화(은페이)
27,아담스 패밀리 2,https://www.kobis.or.kr/common/mast/movie/2021/10/2ceb2a20aa464bf6b070681048445fae.jpg,아담스 패밀리 2.jpg,20210937,"장편 | 일반영화 | 애니메이션, 코미디, 가족 | 92분 59초 | 전체관람가 | 미국",2D,[주연] 오스카 아이삭(고메즈) | 샤를리즈 테론(모티시아) | 클로이 모레츠(웬즈데이) | 스눕 독(잇) | 빌 헤이더(사이러스) | 베트 미들러
28,셀프/리스,https://www.kobis.or.kr/common/mast/movie/2015/08/b7e57ff498c44e4db316ed1e7f1f0da0.jpg,셀프-리스.jpg,20151521,"장편 | 일반영화 | SF, 액션, 스릴러 | 117분 8초 | 15세이상관람가 | 미국","필름,2D",[주연] 라이언 레이놀즈 | 벤 킹슬리 | 매튜 구드
29,스틸 앨리스,https://www.kobis.or.kr/common/mast/movie/2015/04/545cd1fc3c074a45b1f96840a200be3d.jpg,스틸 앨리스.jpg,20145042,장편 | 예술영화 | 드라마 | 101분 0초 | 12세이상관람가 | 미국,"필름,2D",[주연] 줄리안 무어 | 알렉 볼드윈 | 크리스틴 스튜어트 | 케이트 보스워스
30,직쏘,https://www.kobis.or.kr/common/mast/movie/2017/10/4c4979ee5f8d4d5a82962a726d1e1948.jpg,직쏘.jpg,20173724,"장편 | 일반영화 | 공포(호러), 스릴러, 범죄 | 91분 49초 | 청소년관람불가 | 미국",2D,[주연] 토빈 벨(직쏘) | 칼럼 키스 레니(할로란 형사) | 클레 베넷(키이스 형사) | 맷 패스모어(로건 넬슨)
31,러브 앤 프렌즈,https://www.kobis.or.kr/upload/up_img/2011/05/mov_883D38_20110531163259_1.jpg,러브 앤 프렌즈.jpg,20110798,장편 | 일반영화 | 드라마 | 112분 0초 | 15세이상관람가 | 미국,"필름,2D",[주연] 케이트 허드슨(다시) | 지니퍼 굿윈(레이첼)
32,극장판 파워레인저: 캡틴포스 VS 미라클포스 199 히어로 대결전,https://www.kobis.or.kr/common/mast/movie/2012/12/a14f3369bfac4abb992f8e168d31e209.jpg,극장판 파워레인저- 캡틴포스 VS 미라클포스 199 히어로 대결전.jpg,20122192,"장편 | 일반영화 | 애니메이션 | 81분 0초 | 전체관람가 | 일본, 네덜란드","필름,2D",[주연] 치바 유다이
