,영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
121,소나기,https://www.kobis.or.kr/common/mast/movie/2017/08/0615f034638448b295f8a549311de802.jpg,소나기.jpg,20170003,"장편 | 예술,독립 영화 | 애니메이션 | 48분 10초 | 전체관람가 | 한국",2D,[주연] 노강민(소년 목소리) | 신은수(소녀 목소리)
122,레옹 디 오리지널,https://www.kobis.or.kr/common/mast/movie/2020/06/aeaa93d9458d4ef8985a0bf21a205e0f.jpg,레옹 디 오리지널.jpg,20188124,"장편 | 일반영화 | 액션, 범죄, 드라마 | 110분 28초 | 청소년관람불가 | 프랑스",2D,[주연] 장 르노 | 나탈리 포트만 | 게리 올드만
123,와일드라이프,https://www.kobis.or.kr/common/mast/movie/2019/12/9d0f1b73a4f94e1397db74b775acdc47.jpg,와일드라이프.jpg,20190733,장편 | 예술영화 | 드라마 | 105분 1초 | 15세이상관람가 | 미국,2D,[주연] 캐리 멀리건 | 제이크 질렌할 | 에드 옥슨볼드
124,나의 작은 시인에게,https://www.kobis.or.kr/common/mast/movie/2019/03/443f4935c61f48d78c09bcf955dbeab8.jpg,나의 작은 시인에게.jpg,20199009,장편 | 예술영화 | 드라마 | 97분 6초 | 15세이상관람가 | 미국,2D,[주연] 매기 질렌할 | 파커 세박 | 가엘 가르시아 베르날
125,너는 달밤에 빛나고,https://www.kobis.or.kr/common/mast/movie/2020/05/7100af02f84d49fcb2c6e8cb7a8316d1.jpg,너는 달밤에 빛나고.jpg,20195711,장편 | 예술영화 | 멜로/로맨스 | 101분 23초 | 12세이상관람가 | 일본,2D,[주연] 나가노 메이 | 키타무라 타쿠미 | 오이카와 미츠히로 | 하세가와 쿄코
126,업 포 러브,https://www.kobis.or.kr/common/mast/movie/2016/11/12dac93cf997403abb9f118e33bc6136.jpg,업 포 러브.jpg,20166401,"장편 | 예술영화 | 멜로/로맨스, 코미디 | 98분 5초 | 15세이상관람가 | 프랑스",2D,[주연] 장 뒤자르댕 | 비르지니 에피라
127,공기인형,https://www.kobis.or.kr/common/mast/movie/2020/01/da2282cec1924dae8838475f9a0a20e9.jpg,공기인형.jpg,20100130,"장편 | 예술영화 | 드라마, 판타지 | 116분 3초 | 15세이상관람가 | 일본","필름,2D",[주연] 배두나 | 아라타 | 오다기리 조 | 이타오 이츠지
128,하얀리본,https://www.kobis.or.kr/common/mast/movie/2011/12/e4e912de2b014c83a4033452a16391a8.jpg,하얀리본.jpg,20100365,"장편 | 예술영화 | 드라마, 미스터리 | 142분 0초 | 15세이상관람가 | 독일","필름,2D",[주연] 크리스티안 프리에델  | 에른스트 야코비
129,메이드 인 이태리,https://www.kobis.or.kr/common/mast/movie/2021/11/99a6dc24a48a4e35ac5d537176d53876.jpg,메이드 인 이태리.jpg,20219056,"장편 | 예술영화 | 드라마, 멜로/로맨스 | 93분 41초 | 12세이상관람가 | 영국",2D,[주연] 리암 니슨
130,"틱, 틱... 붐!",https://www.kobis.or.kr/common/mast/movie/2021/10/412a14b556294a498a5672319050e8da.jpg,"틱, 틱... 붐!.jpg",20211313,"장편 | 일반영화 | 드라마, 뮤지컬 | 120분 2초 | 12세이상관람가 | 미국",2D,[주연] 앤드류 가필드 | 알렉산드라 쉽 | 로빈 데 헤수스 | 바네사 허진스 | 조슈아 헨리 | 브래들리 휘트포드 | 주디스 라이트
