영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우,등수,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관람객,장르,등급,영화구분,러닝타임,권장연령
명량,https://www.kobis.or.kr/common/mast/movie/2014/07/7e00a486e94f4428b8b2e54313b5c510.jpg,명량.jpg,20129370,"장편 | 일반영화 | 사극, 액션 | 128분 20초 | 15세이상관람가 | 한국","필름,2D,4D",[주연] 최민식(이순신 ) | 류승룡(구루지마 ) | 조진웅(와키자카 ),1,김한민,(주)빅스톤픽쳐스,,(주)씨제이이엔엠,2014-07-30,개봉영화,장편,한국,1587,1.35748E+11,17613682,33121225810,4163666,사극,15세이상관람가,일반영화,128분 20초,15세이상관람가
극한직업,https://www.kobis.or.kr/common/mast/movie/2019/01/dce9586f9f0748139af49fc0c445a2cd.jpg,극한직업.jpg,20182530,장편 | 일반영화 | 코미디 | 111분 0초 | 15세이상관람가 | 한국,2D,[주연] 류승룡(고반장) | 이하늬(장형사) | 진선규(마형사) | 이동휘(영호) | 공명(재훈),2,이병헌,"(주)어바웃잇,영화사 해그림 주식회사,(주)씨제이이엔엠",,(주)씨제이이엔엠,2019-01-23,개봉영화,장편,한국,1978,1.39648E+11,16264944,31858660536,3638287,코미디,15세이상관람가,일반영화,111분 0초,15세이상관람가
신과함께-죄와 벌,https://www.kobis.or.kr/common/mast/movie/2020/12/c21e96f35e3447018c1e37f721b85d18.jpg,신과함께-죄와 벌.jpg,20150976,"장편 | 일반영화 | 판타지, 드라마 | 139분 32초 | 12세이상관람가 | 한국","2D,4D",[주연] 하정우(강림) | 차태현(자홍) | 주지훈(해원맥) | 김향기(덕춘),3,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,1912,1.15699E+11,14410754,27530825087,3346172,판타지,12세이상관람가,일반영화,139분 32초,12세이상관람가
국제시장,https://www.kobis.or.kr/common/mast/movie/2014/11/87fc696afd204b3db1aea0c56af601df.jpg,국제시장.jpg,20137048,장편 | 일반영화 | 드라마 | 126분 16초 | 12세이상관람가 | 한국,"필름,2D",[주연] 황정민(덕수) | 김윤진(영자) | 오달수(달구) | 정진영(덕수부),4,윤제균,"(주)제이케이필름,(주)씨제이이엔엠",,(주)씨제이이엔엠,2014-12-17,개봉영화,장편,한국,966,1.10828E+11,14245998,25842519330,3233946,드라마,12세이상관람가,일반영화,126분 16초,12세이상관람가
어벤져스: 엔드게임,https://www.kobis.or.kr/common/mast/movie/2019/03/6a30ec36083644b49de1d04ac021949e.jpg,어벤져스- 엔드게임.jpg,20184889,"장편 | 일반영화 | 액션, SF | 180분 57초 | 12세이상관람가 | 미국","2D,3D,4D,IMAX",[주연] 로버트 다우니 주니어 | 크리스 에반스 | 마크 러팔로 | 크리스 헴스워스 | 스칼렛 요한슨 | 제레미 레너 | 돈 치들 | 폴 러드 | 브리 라슨 | 카렌 길런 | 브래들리 쿠퍼 | 조슈 브롤린,5,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-04-24,개봉영화,장편,미국,2835,1.22183E+11,13934592,33577136860,3597963,액션,12세이상관람가,일반영화,180분 57초,12세이상관람가
겨울왕국 2,https://www.kobis.or.kr/common/mast/movie/2019/11/5658d961585b46dd8b05225665af2c5a.jpg,겨울왕국 2.jpg,20197803,장편 | 일반영화 | 애니메이션 | 103분 4초 | 전체관람가 | 미국,"2D,3D,4D,IMAX,DOLBYCINEMA",[주연] 크리스틴 벨 | 이디나 멘젤 | 조시 게드 | 조나단 그로프,6,"크리스 벅,제니퍼 리",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-11-21,개봉영화,장편,미국,2648,1.1481E+11,13747792,28824682580,3225974,애니메이션,전체관람가,일반영화,103분 4초,전체관람가
베테랑,https://www.kobis.or.kr/common/mast/movie/2015/07/3bd4c5b5ab3b419b90a96af5c15767a5.jpg,베테랑.jpg,20148048,"장편 | 일반영화 | 액션, 드라마 | 123분 41초 | 15세이상관람가 | 한국","필름,2D",[주연] 황정민(서도철) | 유아인(조태오) | 유해진(최 상무) | 오달수(오 팀장),7,류승완,"(주)외유내강,(주)필름케이",,(주)씨제이이엔엠,2015-08-05,개봉영화,장편,한국,1064,1.05025E+11,13395400,26766369950,3290366,액션,15세이상관람가,일반영화,123분 41초,15세이상관람가
서울의 봄,https://www.kobis.or.kr/common/mast/movie/2023/11/2d4842b5ae044adfaa2769ab51542ab8.jpg,서울의 봄.jpg,20212866,장편 | 일반영화 | 드라마 | 141분 15초 | 12세이상관람가 | 한국,"2D,IMAX",[주연] 황정민(전두광) | 정우성(이태신) | 이성민(참모총장 정상호) | 박해준(9사단장 노태건) | 김성균(헌병감 김준엽),1,김성수,(주)하이브미디어코프,,플러스엠 엔터테인먼트,2023-11-22,개봉영화,장편,한국,2328,1.27924E+11,13127637,29336838704,2956510,드라마,12세이상관람가,일반영화,141분 15초,12세이상관람가
도둑들,https://www.kobis.or.kr/common/mast/movie/2012/12/0a6b6b179db142f8b5510b7f248de5b3.jpg,도둑들.jpg,20124034,"장편 | 일반영화 | 액션, 범죄 | 135분 0초 | 15세이상관람가 | 한국, 홍콩","필름,2D",[주연] 김윤석(마카오박) | 김혜수(팹시) | 이정재(뽀빠이) | 전지현(예니콜) | 임달화(첸) | 김해숙(씹던껌) | 오달수(앤드류) | 김수현(잠파노) | 이심결(줄리) | 증국상(조니),8,최동훈,(주)케이퍼필름,,(주)쇼박스,2012-07-25,개봉영화,장편,한국,1072,93665568500,12983330,26089426500,3468906,액션,15세이상관람가,일반영화,135분 0초,15세이상관람가
7번방의 선물,https://www.kobis.or.kr/common/mast/movie/2012/12/adcbc8dfcf8d4b33b617df559b1f4072.jpg,7번방의 선물.jpg,20127593,"장편 | 일반영화 | 코미디, 드라마 | 127분 0초 | 15세이상관람가 | 한국","필름,2D",[주연] 류승룡(용구) | 박신혜(큰 예승) | 갈소원(어린 예승) | 오달수(방장) | 박원상(춘호) | 김정태(만범) | 정만식(봉식) | 김기천(서노인),9,이환경,"(주)화인웍스,(주)씨엘엔터테인먼트",,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,개봉영화,장편,한국,787,91431914670,12811206,22800931670,3070053,코미디,15세이상관람가,일반영화,127분 0초,15세이상관람가
암살,https://www.kobis.or.kr/common/mast/movie/2015/07/15f2b5d7fceb43b2b56e5315e6cadb4c.jpg,암살.jpg,20148851,"장편 | 일반영화 | 액션, 드라마 | 139분 55초 | 15세이상관람가 | 한국","필름,2D,4D",[주연] 전지현(안옥윤) | 이정재(염석진) | 하정우(하와이 피스톨),10,최동훈,(주)케이퍼필름,,(주)쇼박스,2015-07-22,개봉영화,장편,한국,1519,98463132781,12705700,25306651181,3155960,액션,15세이상관람가,일반영화,139분 55초,15세이상관람가
범죄도시2,https://www.kobis.or.kr/common/mast/movie/2022/05/fe202fdd479043af848b5d9292772df9.jpg,범죄도시2.jpg,20204548,"장편 | 일반영화 | 범죄, 액션 | 105분 55초 | 15세이상관람가 | 한국","2D,IMAX",[주연] 마동석(마석도) | 손석구(강해상) | 최귀화(전일만),2,이상용,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",2022-05-18,개봉영화,장편,한국,2498,1.31293E+11,12692959,29072759869,2755760,범죄,15세이상관람가,일반영화,105분 55초,15세이상관람가
알라딘,https://www.kobis.or.kr/common/mast/movie/2019/05/efafd4f9df1e42748c8eb34f03b4cbd8.jpg,알라딘.jpg,20183867,"장편 | 일반영화 | 어드벤처, 가족, 판타지 | 127분 48초 | 전체관람가 | 미국","2D,3D,4D,IMAX,DOLBYCINEMA",[주연] 메나 마수드 | 윌 스미스 | 나오미 스콧,11,가이 리치,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019-05-23,개봉영화,장편,미국,1311,1.06984E+11,12555894,30218911039,3377404,어드벤처,전체관람가,일반영화,127분 48초,전체관람가
"광해, 왕이 된 남자",https://www.kobis.or.kr/common/mast/movie/2012/12/1d40ab8330574250a6f09c2cb3f6a877.jpg,"광해, 왕이 된 남자.jpg",20124079,"장편 | 일반영화 | 사극, 드라마 | 131분 0초 | 15세이상관람가 | 한국","필름,2D",[주연] 이병헌(광해/하선) | 류승룡(허균) | 한효주(중전) | 장광(조내관) | 김인권(도부장) | 심은경(사월이) | 김명곤(박충수),12,추창민,"리얼라이즈픽쳐스(주),(주)씨제이이엔엠",,(주)씨제이이엔엠,2012-09-13,개봉영화,장편,한국,810,88900208769,12319542,25192804727,3355700,사극,15세이상관람가,일반영화,131분 0초,15세이상관람가
신과함께-인과 연,https://www.kobis.or.kr/common/mast/movie/2020/12/ec2a4ba9b34f4b11bdfc277c148870a4.jpg,신과함께-인과 연.jpg,20186202,"장편 | 일반영화 | 판타지, 드라마 | 141분 20초 | 12세이상관람가 | 한국","2D,4D,IMAX",[주연] 하정우 | 주지훈 | 김향기(덕춘) | 마동석 | 김동욱,13,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,개봉영화,장편,한국,2235,1.02477E+11,12253247,22905551759,2636542,판타지,12세이상관람가,일반영화,141분 20초,12세이상관람가
택시운전사,https://www.kobis.or.kr/common/mast/movie/2017/07/58364f9727824f12821b2c265f8e20db.jpg,택시운전사.jpg,20162869,장편 | 일반영화 | 드라마 | 137분 0초 | 15세이상관람가 | 한국,"필름,2D",[주연] 송강호(김만섭) | 토마스 크레취만(위르겐 힌츠페터(피터)) | 류준열(구재식),14,장훈,더램프(주),,(주)쇼박스,2017-08-02,개봉영화,장편,한국,1906,95284747049,12099971,22186916199,2729932,드라마,15세이상관람가,일반영화,137분 0초,15세이상관람가
부산행,https://www.kobis.or.kr/common/mast/movie/2016/07/38603ca326004d0997ae642a9d248a03.jpg,부산행.jpg,20156564,"장편 | 일반영화 | 액션, 스릴러 | 118분 9초 | 15세이상관람가 | 한국","2D,4D",[주연] 공유 | 정유미(성경) | 마동석 | 김수안(수안),15,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,개봉영화,장편,한국,1788,93175877048,11565078,23020827248,2754686,액션,15세이상관람가,일반영화,118분 9초,15세이상관람가
변호인,https://www.kobis.or.kr/common/mast/movie/2013/12/c3dbfe7d478c451e9c55ac42cf1fdd20.jpg,변호인.jpg,20134803,장편 | 일반영화 | 드라마 | 126분 55초 | 15세이상관람가 | 한국,"필름,2D",[주연] 송강호(송우석) | 김영애(최순애) | 오달수(박동호) | 곽도원(차동영) | 임시완(진우),16,양우석,위더스필름(주),,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,개봉영화,장편,한국,923,82856578300,11372451,22571929000,2978688,드라마,15세이상관람가,일반영화,126분 55초,15세이상관람가
어벤져스: 인피니티 워,https://www.kobis.or.kr/common/mast/movie/2018/04/de30e2ea793546cba585b0745ae1d999.jpg,어벤져스- 인피니티 워.jpg,20177478,"장편 | 일반영화 | 액션, 어드벤처, 판타지, SF | 149분 9초 | 12세이상관람가 | 미국","2D,3D,4D,IMAX",[주연] 로버트 다우니 주니어 | 조슈 브롤린 | 마크 러팔로 | 톰 히들스턴 | 크리스 에반스 | 크리스 헴스워스 | 제레미 레너 | 스칼렛 요한슨 | 엘리자베스 올슨 | 안소니 마키 | 폴 러드 | 기네스 팰트로우 | 폴 베타니 | 돈 치들 | 베네딕트 컴버배치 | 톰 홀랜드 | 크리스 프랫 | 조 샐다나 | 카렌 길런 | 브래들리 쿠퍼 | 빈 디젤 | 데이브 바티스타 | 세바스찬 스탠 | 채드윅 보스만 | 코비 스멀더스 | 베니치오 델 토로 | 피터 딘클리지 | 사무엘 L. 잭슨 | 다네이 거라이라 | 베네딕트 웡,17,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,개봉영화,장편,미국,2553,99919006769,11211880,28631269069,3008819,액션,12세이상관람가,일반영화,149분 9초,12세이상관람가
파묘,https://www.kobis.or.kr/common/mast/movie/2024/02/febb838d186b46878ca5467759930333.jpg,파묘.jpg,20234675,"장편 | 일반영화 | 미스터리, 공포(호러) | 133분 50초 | 15세이상관람가 | 한국","2D,4D,ScreenX",[주연] 최민식(김상덕) | 김고은(이화림) | 유해진(고영근) | 이도현(윤봉길),3,장재현,"(주)쇼박스,(주)엠씨엠씨",,(주)쇼박스,2024-02-22,개봉영화,장편,한국,2355,1.05794E+11,10957317,24815149465,2507635,미스터리,15세이상관람가,일반영화,133분 50초,15세이상관람가
아바타: 물의 길,https://www.kobis.or.kr/common/mast/movie/2022/11/87e132235b634767b9c22e8483cfbba7.jpg,아바타- 물의 길.jpg,20225061,"장편 | 일반영화 | 액션, 어드벤처, SF, 스릴러 | 192분 24초 | 12세이상관람가 | 미국","2D,3D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 조 샐다나 | 샘 워싱턴 | 시고니 위버 | 스티븐 랭 | 케이트 윈슬렛,4,제임스 카메론,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-12-14,개봉영화,장편,미국,2809,1.37648E+11,10805065,35476705140,2623216,액션,12세이상관람가,일반영화,192분 24초,12세이상관람가
범죄도시3,https://www.kobis.or.kr/common/mast/movie/2023/05/71a80a4008364e119471cb94723af423.jpg,범죄도시3.jpg,20226411,"장편 | 일반영화 | 범죄, 액션 | 105분 7초 | 15세이상관람가 | 한국","2D,4D,IMAX",[주연] 마동석(마석도) | 이준혁(주성철) | 아오키 무네타카(리키) | 마동석 | 김병탁,5,이상용,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",2023-05-31,개봉영화,장편,한국,2582,1.04688E+11,10682813,22152818269,2215433,범죄,15세이상관람가,일반영화,105분 7초,15세이상관람가
어벤져스: 에이지 오브 울트론,https://www.kobis.or.kr/common/mast/movie/2015/03/c26db862b6a1440bb84459b86b822727.jpg,어벤져스- 에이지 오브 울트론.jpg,20148493,"장편 | 일반영화 | 액션, 어드벤처, 판타지, SF | 141분 6초 | 12세이상관람가 | 미국","필름,2D,3D,4D,IMAX",[주연] 로버트 다우니 주니어 | 크리스 헴스워스 | 마크 러팔로 | 크리스 에반스 | 스칼렛 요한슨 | 제레미 레너 | 돈 치들 | 애론 테일러 존슨 | 엘리자베스 올슨 | 폴 베타니 | 코비 스멀더스 | 제임스 스페이더 | 사무엘 L. 잭슨 | 수현(닥터 조),18,조스 웨던,,월트디즈니컴퍼니코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",2015-04-23,개봉영화,장편,미국,1843,88582586366,10494499,25001906266,2823388,액션,12세이상관람가,일반영화,141분 6초,12세이상관람가
기생충,https://www.kobis.or.kr/common/mast/movie/2019/05/72d8601eaf93467993e92e46a45775fc.jpg,기생충.jpg,20183782,장편 | 일반영화 | 드라마 | 131분 39초 | 15세이상관람가 | 한국,"2D,IMAX,흑백판",[주연] 송강호(기택) | 이선균(동익) | 조여정(연교) | 최우식(기우) | 박소담(기정) | 이정은(문광) | 장혜진(충숙) | 박명훈(근세),19,봉준호,(주)바른손이앤에이,,(주)씨제이이엔엠,2019-05-30,개봉영화,장편,한국,1948,87459829095,10313086,24128560195,2790209,드라마,15세이상관람가,일반영화,131분 39초,15세이상관람가
겨울왕국,https://www.kobis.or.kr/common/mast/movie/2014/01/feb828eee7e94a57b4d00a282bdfbbdd.jpg,겨울왕국.jpg,20136803,"장편 | 일반영화 | 애니메이션, 어드벤처, 가족, 코미디, 뮤지컬, 판타지 | 108분 2초 | 전체관람가 | 미국","필름,2D,3D,4D",[주연] 이디나 멘젤(엘사 목소리 ) | 크리스틴 벨(안나 목소리 ) | 조나단 그로프(크리스토프 목소리 ) | 조시 게드(올라프 목소리 ),20,"크리스 벅,제니퍼 리",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",2014-01-16,개봉영화,장편,미국,1010,82461504400,10296101,25847243500,3003446,애니메이션,전체관람가,일반영화,108분 2초,전체관람가
인터스텔라,https://www.kobis.or.kr/common/mast/movie/2016/01/37b16a87e7e24523bd61eb67addff325.jpg,인터스텔라.jpg,20149120,"장편 | 일반영화 | SF | 169분 5초 | 12세이상관람가 | 미국, 영국","필름,2D,4D,IMAX",[주연] 매튜 매커너히 | 앤 해서웨이 | 마이클 케인 | 제시카 차스테인 | 케이시 애플렉,21,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-11-06,개봉영화,장편,미국,1342,82274331200,10273803,25500349600,3079036,SF,12세이상관람가,일반영화,169분 5초,12세이상관람가
보헤미안 랩소디,https://www.kobis.or.kr/common/mast/movie/2018/12/566d1717898845518eed5ac8322083c5.jpg,보헤미안 랩소디.jpg,20185485,장편 | 일반영화 | 드라마 | 134분 23초 | 12세이상관람가 | 미국,"2D,IMAX,ScreenX",[주연] 라미 말렉 | 조셉 마젤로 | 마이크 마이어스 | 루시 보인턴,22,브라이언 싱어,,이십세기폭스코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2018-10-31,개봉영화,장편,미국,936,86280975785,9948386,27849793695,3097336,드라마,12세이상관람가,일반영화,134분 23초,12세이상관람가
검사외전,https://www.kobis.or.kr/common/mast/movie/2016/01/ad79ccc0f6d54c34954089a4e4a268d3.jpg,검사외전.jpg,20145507,"장편 | 일반영화 | 범죄, 코미디 | 126분 13초 | 15세이상관람가 | 한국",2D,[주연] 황정민(변재욱) | 강동원(한치원),23,이일형,"(주)영화사 월광,(주)사나이픽처스",,(주)쇼박스,2016-02-03,개봉영화,장편,한국,1812,77252755264,9699092,18302525664,2219587,범죄,15세이상관람가,일반영화,126분 13초,15세이상관람가
엑시트,https://www.kobis.or.kr/common/mast/movie/2019/07/de5baeb2750940f09ee8343511072c2f.jpg,엑시트.jpg,20184621,"장편 | 일반영화 | 코미디, 액션 | 103분 24초 | 12세이상관람가 | 한국","2D,4D,IMAX",[주연] 조정석(용남) | 임윤아(의주) | 설도희(보습학원 헬기부기장) | 최재영(다리 밑 드론시민) | 고두심(현옥) | 김환영(구름정원알바생2) | 변건우 | 황지현(편의점 앞 도망자) | 황효은(둘째누나),24,이상근,"(주)외유내강,(주)필름케이",,(주)씨제이이엔엠,2019-07-31,개봉영화,장편,한국,1660,79232212162,9426051,18533549352,2132869,코미디,12세이상관람가,일반영화,103분 24초,12세이상관람가
관상,https://www.kobis.or.kr/common/mast/movie/2013/08/825a43e2055d4fc8bdfc5ddd0d15afd8.jpg,관상.jpg,20126091,"장편 | 일반영화 | 사극, 드라마 | 139분 40초 | 15세이상관람가 | 한국","필름,2D",[주연] 송강호(내경) | 이정재(수양대군) | 백윤식(김종서) | 조정석(팽헌) | 이종석(내경 아들) | 김혜수(연홍),25,한재림,"(주)주피터필름,(주)쇼박스",,(주)쇼박스,2013-09-11,개봉영화,장편,한국,1190,66005451500,9134586,19311179000,2561744,사극,15세이상관람가,일반영화,139분 40초,15세이상관람가
아이언맨 3,https://www.kobis.or.kr/common/mast/movie/2013/03/a4787256551d4ffa8f3fa63b48496a96.jpg,아이언맨 3.jpg,20121621,"장편 | 일반영화 | 액션, 어드벤처, SF | 130분 22초 | 12세이상관람가 | 미국","필름,2D,3D,4D,IMAX",[주연] 로버트 다우니 주니어(토니 스타크) | 기네스 팰트로우(페퍼 포츠) | 벤 킹슬리(만다린) | 가이 피어스(올드리치 킬리언 ) | 레베카 홀(마야 헨슨) | 폴 베타니(쟈비스) | 존 파브로(해피 호건),26,쉐인 블랙,파라마운트 픽쳐스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-04-25,개봉영화,장편,미국,1381,70806191000,9001309,21668935500,2595269,액션,12세이상관람가,일반영화,130분 22초,12세이상관람가
설국열차,https://www.kobis.or.kr/common/mast/movie/2013/07/dd36523775a04c759066bc22811cad45.jpg,설국열차.jpg,20126674,"장편 | 일반영화 | SF, 액션 | 125분 46초 | 15세이상관람가 | 한국, 체코","필름,2D",[주연] 크리스 에반스 | 송강호 | 에드 해리스 | 존 허트 | 틸다 스윈튼 | 제이미 벨 | 옥타비아 스펜서 | 이완 브렘너 | 고아성 | 알리슨 필,27,봉준호,"모호필름,오퍼스픽쳐스(유)",,(주)씨제이이엔엠,2013-08-01,개봉영화,장편,한국,1128,64016480000,8914845,18975866000,2550437,SF,15세이상관람가,일반영화,125분 46초,15세이상관람가
캡틴 아메리카: 시빌 워,https://www.kobis.or.kr/common/mast/movie/2016/04/3c20b84e46b44b839e4c65edc2dac459.jpg,캡틴 아메리카- 시빌 워.jpg,20159364,"장편 | 일반영화 | 액션, SF, 스릴러 | 147분 29초 | 12세이상관람가 | 미국","2D,3D,4D,IMAX",[주연] 크리스 에반스 | 로버트 다우니 주니어 | 스칼렛 요한슨 | 세바스찬 스탠 | 안소니 마키 | 돈 치들 | 제레미 레너,28,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",2016-04-27,개봉영화,장편,미국,1991,72672111827,8677249,21248121149,2400069,액션,12세이상관람가,일반영화,147분 29초,12세이상관람가
수상한 그녀,https://www.kobis.or.kr/common/mast/movie/2014/01/ccc510384c0e4c159b434bd466a04c48.jpg,수상한 그녀.jpg,20131102,장편 | 일반영화 | 드라마 | 124분 46초 | 15세이상관람가 | 한국,"필름,2D,4D",[주연] 심은경(오두리) | 나문희(오말순) | 박인환(박씨) | 성동일(현철) | 이진욱(승우),29,황동혁,"(주)예인플러스엔터테인먼트,아이앤코스모스(주)시네와이즈필름",,(주)씨제이이엔엠,2014-01-22,개봉영화,장편,한국,692,62696639249,8656397,15358810049,2042110,드라마,15세이상관람가,일반영화,124분 46초,15세이상관람가
해적: 바다로 간 산적,https://www.kobis.or.kr/common/mast/movie/2014/07/d9f709b13e3440c38af6f321022365ed.jpg,해적- 바다로 간 산적.jpg,20136064,장편 | 일반영화 | 어드벤처 | 129분 37초 | 12세이상관람가 | 한국,"필름,2D,4D",[주연] 김남길 | 손예진 | 신정근,30,이석훈,(주)하리마오픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06,개봉영화,장편,한국,838,66240631706,8646758,14906345006,1868694,어드벤처,12세이상관람가,일반영화,129분 37초,12세이상관람가
아바타,https://www.kobis.or.kr/common/mast/movie/2018/05/910c2e2182734c0e98af7232c36a42ef.jpg,아바타.jpg,20090834,"장편 | 예술영화 | SF, 액션, 어드벤처 | 161분 31초 | 12세이상관람가 | 미국","필름,2D,3D,4D,IMAX",[주연] 샘 워싱턴 | 조 샐다나 | 시고니 위버,31,제임스 카메론,이십세기폭스필름코퍼레이션,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)","주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",2009-12-17,개봉영화,장편,미국,912,84657811417,8435381,27478227000,2545090,SF,12세이상관람가,독립/예술영화,161분 31초,12세이상관람가
백두산,https://www.kobis.or.kr/common/mast/movie/2019/12/829ed8c917b04d57a439b27f2baeb1c5.jpg,백두산.jpg,20192206,"장편 | 일반영화 | 어드벤처, 드라마 | 128분 0초 | 12세이상관람가 | 한국","2D,4D",[주연] 이병헌(리준평) | 하정우(조인창) | 마동석(강봉래) | 전혜진(전유경) | 배수지(최지영),32,"이해준,김병서","주식회사 덱스터 픽쳐스,(주)퍼펙트스톰필름,(주)씨제이이엔엠",,"(주)씨제이이엔엠,(주)덱스터스튜디오",2019-12-19,개봉영화,장편,한국,1971,69825366300,8252669,15055877210,1724785,어드벤처,12세이상관람가,일반영화,128분 0초,12세이상관람가
탑건: 매버릭,https://www.kobis.or.kr/common/mast/movie/2022/06/fa28d4efd4ed492f86cd892ed31913e1.jpg,탑건- 매버릭.jpg,20194376,장편 | 일반영화 | 액션 | 130분 3초 | 12세이상관람가 | 미국,"2D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 톰 크루즈 | 마일즈 텔러 | 제니퍼 코넬리,6,조셉 코신스키,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2022-06-22,개봉영화,장편,미국,1975,87855360975,8177446,25925045991,2309600,액션,12세이상관람가,일반영화,130분 3초,12세이상관람가
스파이더맨: 파 프롬 홈,https://www.kobis.or.kr/common/mast/movie/2019/05/4284cb5cd9844fb9be706ddb96534c1a.jpg,스파이더맨- 파 프롬 홈.jpg,20196309,"장편 | 일반영화 | 액션, 어드벤처, 코미디, SF | 129분 15초 | 12세이상관람가 | 미국","2D,3D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 톰 홀랜드 | 사무엘 L. 잭슨 | 젠데이아 콜먼 | 코비 스멀더스 | 존 파브로 | 마리사 토메이 | 제이크 질렌할 | 제이콥 배덜런,33,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-07-02,개봉영화,장편,미국,2142,69000711100,8020208,18515112400,2051196,액션,12세이상관람가,일반영화,129분 15초,12세이상관람가
공조,https://www.kobis.or.kr/common/mast/movie/2017/01/5c3cc689eebd404d95a7c4752e4ed071.jpg,공조.jpg,20151228,장편 | 일반영화 | 액션 | 125분 0초 | 15세이상관람가 | 한국,"2D,4D",[주연] 현빈 | 유해진(강진태) | 김주혁 | 장영남 | 이해영(표반장) | 임윤아 | 이동휘,34,김성훈,"(주)제이케이필름,(주)씨제이이엔엠,(주)영화사 이창,(주)에이치비엔터테인먼트",,(주)씨제이이엔엠,2017-01-18,개봉영화,장편,한국,976,63781731326,7817446,14672808676,1744624,액션,15세이상관람가,일반영화,125분 0초,15세이상관람가
트랜스포머 3,https://www.kobis.or.kr/upload/up_img/2011/06/mov_JC8C19_20110607154947_1.jpg,트랜스포머 3.jpg,20110659,"장편 | 일반영화 | 액션, 어드벤처 | 152분 0초 | 12세이상관람가 | 미국","필름,2D,3D,4D,IMAX",[주연] 조쉬 더하멜(Lt. 코널 윌리엄 레녹스) | 존 말코비치(브루스 ) | 로지 헌팅턴-휘틀리(칼리 ) | 샤이아 라보프(샘 윗윅키 ) | 패트릭 뎀시(딜런 ),35,마이클 베이,,(주)씨제이이엔엠,(주)씨제이이엔엠,2011-06-29,개봉영화,장편,미국,1409,74841350500,7784807,21746223000,2143018,액션,12세이상관람가,일반영화,152분 0초,12세이상관람가
히말라야,https://www.kobis.or.kr/common/mast/movie/2015/11/2f5a2256ca1349bfab56ac9fe579c025.jpg,히말라야.jpg,20136068,장편 | 일반영화 | 드라마 | 127분 55초 | 12세이상관람가 | 한국,"필름,2D",[주연] 황정민 | 정우,36,이석훈,(주)제이케이필름,,(주)씨제이이엔엠,2015-12-16,개봉영화,장편,한국,1009,60173583015,7759473,13920553930,1738016,드라마,12세이상관람가,일반영화,127분 55초,12세이상관람가
