영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우,등수,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관람객,장르,등급,영화구분,러닝타임,권장연령
죽지않는 인간들의 밤,https://www.kobis.or.kr/common/mast/movie/2020/09/6714033d7a3b4cdca0764441ea5fad3a.jpg,죽지않는 인간들의 밤.jpg,20190621,"장편 | 일반영화 | 코미디, 스릴러 | 110분 20초 | 15세이상관람가 | 한국",2D,[주연] 이정현(소희) | 김성오(만길) | 서영희(세라) | 양동근(소장) | 이미도(양선),1486,신정원,"(주)브라더픽쳐스,TCO(주)더콘텐츠온",,TCO(주)더콘텐츠온,2020-09-29,개봉영화,장편,한국,570,840217440,101616,234955440,27911,코미디,15세이상관람가,일반영화,110분 20초,15세이상관람가
일대종사,https://www.kobis.or.kr/common/mast/movie/2013/07/b2b394e0352c439bb3127920e18fd1a1.jpg,일대종사.jpg,20139072,"장편 | 예술영화 | 액션, 드라마 | 122분 40초 | 12세이상관람가 | 중국","필름,2D",[주연] 양조위(엽문) | 장쯔이(궁이) | 송혜교(장영성) | 장첸(일선천),1487,왕가위,,CGV아트하우스,CGV아트하우스,2013-08-22,개봉영화,장편,중국,193,733528000,101461,354286000,47284,액션,12세이상관람가,독립/예술영화,122분 40초,12세이상관람가
R.I.P.D. : 알.아이.피.디.,https://www.kobis.or.kr/common/mast/movie/2013/08/3beedeb07eb54b99bb489f9799f9c87a.jpg,R.I.P.D. - 알.아이.피.디..jpg,20138421,"장편 | 일반영화 | 액션, 코미디, 범죄 | 95분 51초 | 15세이상관람가 | 미국","필름,2D,3D,4D",[주연] 라이언 레이놀즈(닉 워커) | 제프 브리지스(로이 펄시퍼) | 케빈 베이컨(바비 헤이즈),1488,로베르트 슈벤트케,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-08-22,개봉영화,장편,미국,268,725451071,101460,213165571,27894,액션,15세이상관람가,일반영화,95분 51초,15세이상관람가
라스트 미션,https://www.kobis.or.kr/common/mast/movie/2019/03/4c4bf32fda17406bbb52dac126a47e62.jpg,라스트 미션.jpg,20197356,장편 | 일반영화 | 드라마 | 116분 17초 | 15세이상관람가 | 미국,2D,[주연] 클린트 이스트우드 | 타이사 파미가 | 브래들리 쿠퍼 | 마이클 페나,1489,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2019-03-14,개봉영화,장편,미국,472,835560639,101293,309786489,37554,드라마,15세이상관람가,일반영화,116분 17초,15세이상관람가
게이트,https://www.kobis.or.kr/common/mast/movie/2018/02/0a17a7925723429592eb6c401ec203a1.jpg,게이트.jpg,20189663,"장편 | 일반영화 | 범죄, 코미디 | 91분 54초 | 15세이상관람가 | 한국",2D,[주연] 정려원 | 임창정(규철) | 정상훈(민욱) | 김도훈(원호),1490,신재호,삼삼공구 브라더스,,(주)제이앤씨미디어그룹,2018-02-28,개봉영화,장편,한국,208,820756100,101173,187520600,22814,범죄,15세이상관람가,일반영화,91분 54초,15세이상관람가
돌연변이,https://www.kobis.or.kr/common/mast/movie/2015/10/53c5b846d95d4ac19cabaf3ab33879ea.jpg,돌연변이.jpg,20145501,"장편 | 일반영화 | 드라마, 코미디 | 93분 28초 | 12세이상관람가 | 한국","필름,2D",[주연] 이광수(박구) | 이천희(상원) | 박보영(주진),1491,권오광,영화사 우상,,필라멘트픽쳐스,2015-10-22,개봉영화,장편,한국,399,748936684,100543,196277284,24547,드라마,12세이상관람가,일반영화,93분 28초,12세이상관람가
바닷마을 다이어리,https://www.kobis.or.kr/common/mast/movie/2023/01/6e716f44fb6d4ad9903c4783965f9d30.jpg,바닷마을 다이어리.jpg,20156102,장편 | 예술영화 | 드라마 | 127분 7초 | 12세이상관람가 | 일본,"필름,2D",[주연] 아야세 하루카 | 나가사와 마사미 | 카호 | 히로세 스즈 | 카세 료,1492,고레에다 히로카즈,,"주식회사 왓챠,(주)티캐스트","주식회사 왓챠,(주)티캐스트",2015-12-17,개봉영화,장편,일본,67,821350384,100225,603958884,70987,드라마,12세이상관람가,독립/예술영화,127분 7초,12세이상관람가
21 브릿지: 테러 셧다운,https://www.kobis.or.kr/common/mast/movie/2020/10/d8ce99e7110a4e3388fbbf0ec3be4a76.jpg,21 브릿지- 테러 셧다운.jpg,20191408,"장편 | 일반영화 | 스릴러, 드라마, 범죄 | 99분 0초 | 15세이상관람가 | 미국",2D,[주연] 채드윅 보스만 | J.K. 시몬스 | 시에나 밀러 | 테일러 키취,1493,브라이언 커크,,(유)조이앤시네마,"(주)드림팩트엔터테인먼트,(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2020-01-01,개봉영화,장편,미국,228,774683700,100092,280399900,35037,스릴러,15세이상관람가,일반영화,99분 0초,15세이상관람가
극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,https://www.kobis.or.kr/common/mast/movie/2015/10/549e178b68b54d7499423d02a2145445.jpg,극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE.jpg,20157883,"장편 | 일반영화 | 액션, SF | 59분 58초 | 전체관람가 | 일본","필름,2D",[주연] 시손 쥰 | 세키네 츠토무,1494,와타나베 카츠야,,대원미디어(주),"(주)스마일이엔티,(주)영화사오원",2015-11-26,개봉영화,장편,일본,344,731072500,100054,140786100,18423,액션,전체관람가,일반영화,59분 58초,전체관람가
추락의 해부,https://www.kobis.or.kr/common/mast/movie/2024/01/f8b24a6c122a41e4a0b6a18a790c48d5.jpg,추락의 해부.jpg,20234730,"장편 | 예술영화 | 드라마, 스릴러 | 151분 39초 | 15세이상관람가 | 프랑스",2D,[주연] 산드라 휠러 | 스완 아를로 | 밀로 마차도 그라너,196,쥐스틴 트리에,,그린나래미디어(주),(주)스튜디오디에이치엘,2024-01-31,개봉영화,장편,프랑스,236,986094771,100047,614242843,60627,드라마,15세이상관람가,독립/예술영화,151분 39초,15세이상관람가
딥워터 호라이즌,https://www.kobis.or.kr/common/mast/movie/2017/01/ff8a857984e44374a13ca361d5376410.jpg,딥워터 호라이즌.jpg,20168154,"장편 | 일반영화 | 액션, 드라마 | 107분 10초 | 12세이상관람가 | 미국",2D,[주연] 마크 월버그 | 딜런 오브라이언 | 케이트 허드슨 | 커트 러셀,1495,피터 버그,,(주)우성엔터테인먼트,플러스엠 엔터테인먼트,2017-01-25,개봉영화,장편,미국,433,775611543,100021,236676643,30009,액션,12세이상관람가,일반영화,107분 10초,12세이상관람가
미니특공대X,https://www.kobis.or.kr/common/mast/movie/2018/02/b17e2a7a374d4ee1899c41bac52efa67.jpg,미니특공대X.jpg,20181366,장편 | 일반영화 | 애니메이션 | 67분 36초 | 전체관람가 | 한국,2D,[주연] 엄상현(볼트 목소리) | 전태열(새미 목소리) | 이소영(루시 목소리) | 신용우(맥스 목소리),1496,이영준,(주)에스에이엠지엔터테인먼트,,(주)에스에이엠지엔터테인먼트,2018-03-22,개봉영화,장편,한국,458,744858200,99952,131013800,16957,애니메이션,전체관람가,일반영화,67분 36초,전체관람가
타운,https://www.kobis.or.kr/upload/up_img/2011/03/mov_IGIA35_20110321162143_1.jpg,타운.jpg,20102419,"장편 | 일반영화 | 드라마, 범죄, 스릴러 | 124분 0초 | 청소년관람불가 | 미국","필름,2D",[주연] 레베카 홀(클레어 키시) | 제레미 레너(제임스 코글린) | 벤 애플렉(더그 맥레이),1497,벤 애플렉,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-01-27,개봉영화,장편,미국,158,763767000,98866,321492000,40292,드라마,청소년관람불가,일반영화,124분 0초,청소년관람불가
엘비스,https://www.kobis.or.kr/common/mast/movie/2022/06/e9f555293e0e454da6c1fcde8badd575.jpg,엘비스.jpg,20225175,장편 | 일반영화 | 드라마 | 159분 4초 | 15세이상관람가 | 미국,"2D,ScreenX,DOLBYCINEMA",[주연] 오스틴 버틀러 | 톰 행크스 | 올리비아 데종,197,바즈 루어만,,워너브러더스 코리아(주),워너브러더스 코리아(주),2022-07-13,개봉영화,장편,미국,665,1070700628,98706,529762729,47318,드라마,15세이상관람가,일반영화,159분 4초,15세이상관람가
라이언,https://www.kobis.or.kr/common/mast/movie/2016/12/9e71bddc262a4d34941b12b076a79c74.jpg,라이언.jpg,20167324,"장편 | 예술영화 | 드라마 | 118분 24초 | 12세이상관람가 | 호주, 영국, 미국",2D,[주연] 데브 파텔 | 루니 마라 | 니콜 키드먼 | 데이빗 웬햄,1498,가스 데이비스,,(주)우성엔터테인먼트,(주)이수C&E,2017-02-01,개봉영화,장편,호주,205,736334100,98660,268044000,35523,드라마,12세이상관람가,독립/예술영화,118분 24초,12세이상관람가
로덴시아: 마법왕국의 전설,https://www.kobis.or.kr/common/mast/movie/2013/09/c93b631200db4debbaaa743218a05df1.jpg,로덴시아- 마법왕국의 전설.jpg,20132261,"장편 | 예술영화 | 애니메이션, 어드벤처 | 87분 29초 | 전체관람가 | 페루, 아르헨티나","필름,2D",,1499,데이비드 비스바노,,(주)시네마리퍼블릭,(주)영화사 빅,2013-10-02,개봉영화,장편,페루,221,632768500,98575,162525500,24021,애니메이션,전체관람가,독립/예술영화,87분 29초,전체관람가
빌리와 용감한 녀석들 3,https://www.kobis.or.kr/common/mast/movie/2015/04/74ab9aea1d6e444aa9fd9446207257af.jpg,빌리와 용감한 녀석들 3.jpg,20158428,"장편 | 예술영화 | 애니메이션, 어드벤처 | 80분 1초 | 전체관람가 | 미국","필름,2D,3D",[주연] 엄상현(빌리) | 조현정(샌디),1500,척 파워스,,㈜코리아스크린,롯데쇼핑㈜롯데엔터테인먼트,2015-04-30,개봉영화,장편,미국,343,699788600,98495,177312700,23652,애니메이션,전체관람가,독립/예술영화,80분 1초,전체관람가
대병소장,https://www.kobis.or.kr/upload/up_img/cleansing/15/mov_20100115_3.jpg,대병소장.jpg,20100115,"장편 | 일반영화 | 액션, 코미디 | 95분 0초 | 12세이상관람가 | 홍콩",필름,[주연] 성룡 | 왕리홍,1501,장성,,(주)동아수출공사,(주)싸이더스,2010-03-11,개봉영화,장편,홍콩,158,718183268,98435,136399500,17622,액션,12세이상관람가,일반영화,95분 0초,12세이상관람가
블랙폰,https://www.kobis.or.kr/common/mast/movie/2022/09/3b6192e92a5b4ab89f2f79ddf7743dbf.jpg,블랙폰.jpg,20212709,장편 | 일반영화 | 공포(호러) | 103분 21초 | 15세이상관람가 | 미국,2D,[주연] 에단 호크 | 메이슨 테임즈 | 매들린 맥그로,198,스콧 데릭슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-09-07,개봉영화,장편,미국,495,997038042,98336,296096118,30251,공포(호러),15세이상관람가,일반영화,103분 21초,15세이상관람가
김광석,https://www.kobis.or.kr/common/mast/movie/2017/07/e80a8482493a48c19fe6fd00ecd88cd1.jpg,김광석.jpg,20166132,"장편 | 예술,독립 영화 | 다큐멘터리 | 81분 52초 | 15세이상관람가 | 한국",2D,[주연] 김광석,1502,이상호,(주)씨네포트,,(주)무빙픽쳐스컴퍼니,2017-08-30,개봉영화,장편,한국,223,772483500,98231,346699400,41838,다큐멘터리,15세이상관람가,독립/예술영화,81분 52초,15세이상관람가
맥베스,https://www.kobis.or.kr/common/mast/movie/2015/11/71f13fec208f437ca848c42413b5458c.jpg,맥베스.jpg,20157065,"장편 | 예술영화 | 드라마 | 112분 50초 | 15세이상관람가 | 영국, 프랑스, 미국","필름,2D",[주연] 마이클 패스벤더 | 마리옹 꼬띠아르,1503,저스틴 커젤,,판씨네마(주),판씨네마(주),2015-12-03,개봉영화,장편,영국,141,744966853,98161,390696453,49594,드라마,15세이상관람가,독립/예술영화,112분 50초,15세이상관람가
스노우 폭스: 썰매개가 될 거야!,https://www.kobis.or.kr/common/mast/movie/2023/11/671a65210a4e4f648d3b86031421e7cd.jpg,스노우 폭스- 썰매개가 될 거야!.jpg,20234957,"장편 | 예술영화 | 애니메이션, 어드벤처 | 92분 0초 | 전체관람가 | 미국",2D,[주연] 제레미 레너(스위프티) | 알렉 볼드윈(피비),199,아론 우들리,,(주)히스토리필름,(주)팝엔터테인먼트,2023-11-23,개봉영화,장편,미국,479,778548216,97916,92595742,11160,애니메이션,전체관람가,독립/예술영화,92분 0초,전체관람가
이웃집에 신이 산다,https://www.kobis.or.kr/common/mast/movie/2015/12/dffd9f4552f942679c7f0b07b426d339.jpg,이웃집에 신이 산다.jpg,20158885,"장편 | 예술영화 | 코미디 | 114분 36초 | 청소년관람불가 | 벨기에, 프랑스, 룩셈부르크",2D,[주연] 브누와 뽀엘부르드 | 욜랭드 모로 | 까뜨린느 드뇌브,1504,자코 반 도마엘,,(주)엣나인필름,(주)엣나인필름,2015-12-24,개봉영화,장편,벨기에,73,790535650,97883,428475050,51331,코미디,청소년관람불가,독립/예술영화,114분 36초,청소년관람불가
여중생A,https://www.kobis.or.kr/common/mast/movie/2018/05/ba62f13110114e00bc43fb15a0f716b8.jpg,여중생A.jpg,20184101,장편 | 일반영화 | 드라마 | 114분 9초 | 12세이상관람가 | 한국,2D,[주연] 김환희(미래 / 게임세계 - 다크) | 김준면(재희) | 정다빈(희나),1505,이경섭,"(주)영화사울림,네이버웹툰 주식회사",,롯데컬처웍스(주)롯데엔터테인먼트,2018-06-20,개봉영화,장편,한국,479,811686000,97849,304755500,33816,드라마,12세이상관람가,일반영화,114분 9초,12세이상관람가
레이디 버드,https://www.kobis.or.kr/common/mast/movie/2018/03/040f4ecb75c046ea82eba6d8705cafa9.jpg,레이디 버드.jpg,20178424,"장편 | 일반영화 | 코미디, 드라마 | 94분 22초 | 15세이상관람가 | 미국",2D,[주연] 시얼샤 로넌 | 로리 멧칼프 | 트레이시 렛츠,1506,그레타 거윅,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-04-04,개봉영화,장편,미국,344,794126700,97777,448029200,53878,코미디,15세이상관람가,일반영화,94분 22초,15세이상관람가
아내를 죽였다,https://www.kobis.or.kr/common/mast/movie/2019/11/e3956305b5d543b3811458e284652ceb.jpg,아내를 죽였다.jpg,20198182,"장편 | 독립영화 | 스릴러, 액션 | 97분 27초 | 15세이상관람가 | 한국",2D,[주연] 이시언(채정호) | 안내상(최대연 경위) | 왕지혜(정미영),1507,김하라,단테미디어랩,,(주)케이티알파,2019-12-11,개봉영화,장편,한국,556,793514560,97580,198429420,25259,스릴러,15세이상관람가,독립/예술영화,97분 27초,15세이상관람가
인류멸망 보고서,https://www.kobis.or.kr/common/mast/movie/2012/03/9136ef08b7ca4d4490352abad84a6bb8.jpg,인류멸망 보고서.jpg,20068590,옴니버스 | 일반영화 | SF | 120분 0초 | 15세이상관람가 | 한국,"필름,2D",[주연] 류승범 | 김강우 | 송새벽 | 송영창(seg. 천상의 피조물 - 강회장) | 김규리 | 고준희 | 진지희,1508,김지운,지오엔터테인먼트,,"롯데쇼핑㈜롯데엔터테인먼트,타임스토리그룹(주)",2012-04-11,개봉영화,옴니버스,한국,236,702418000,97555,228281500,29802,SF,15세이상관람가,일반영화,120분 0초,15세이상관람가
극장판 도라에몽: 진구와 하늘의 유토피아,https://www.kobis.or.kr/common/mast/movie/2023/07/451b72a3a4fa4c3d9e69c1c8b188e750.jpg,극장판 도라에몽- 진구와 하늘의 유토피아.jpg,20232570,장편 | 일반영화 | 애니메이션 | 107분 28초 | 전체관람가 | 일본,2D,[주연] 윤아영(도라에몽) | 김정아(진구) | 이현주(비실이) | 조현정(이슬이) | 최낙윤(퉁퉁이),200,,,대원미디어(주),씨제이 씨지브이(CJ CGV)(주),2023-07-08,개봉영화,장편,일본,283,883201800,97402,143019000,15052,애니메이션,전체관람가,일반영화,107분 28초,전체관람가
극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,https://www.kobis.or.kr/common/mast/movie/2020/09/1ebb46f7402940c1b8f58307003e0564.jpg,극장판 포켓몬스터 뮤츠의 역습 EVOLUTION.jpg,20206062,장편 | 일반영화 | 애니메이션 | 96분 28초 | 전체관람가 | 일본,2D,[주연] 이선호(지우) | 홍시호(뮤츠),1509,"유야마 쿠니히코,사카키바라 모토노리",,(주)포켓몬코리아,(주)이수C&E,2020-09-30,개봉영화,장편,일본,591,780592310,97398,149593280,17678,애니메이션,전체관람가,일반영화,96분 28초,전체관람가
