영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
런닝맨,https://www.kobis.or.kr/common/mast/movie/2013/03/5543541664f04403b8566b0e6c30fb0f.jpg,런닝맨.jpg,20126671,"장편 | 일반영화 | 액션, 코미디 | 127분 7초 | 15세이상관람가 | 한국, 미국","필름,2D",[주연] 신하균(종우) | 이태리(기혁) | 김상호(상기) | 조은지(선영) | 오정세(도식)
구르믈 버서난 달처럼,https://www.kobis.or.kr/upload/up_img/cleansing/31/mov_20090931_16.jpg,구르믈 버서난 달처럼.jpg,20090931,"장편 | 일반영화 | 사극, 액션 | 111분 0초 | 15세이상관람가 | 한국","필름,2D",[주연] 황정민(황정학) | 차승원(이몽학) | 한지혜(백지) | 백성현(견자)
위대한 쇼맨,https://www.kobis.or.kr/common/mast/movie/2017/12/a4c279a135c94c598995fd017b53053c.jpg,위대한 쇼맨.jpg,20179462,"장편 | 일반영화 | 드라마, 뮤지컬 | 104분 9초 | 12세이상관람가 | 미국",2D,[주연] 휴 잭맨 | 잭 에프런 | 미쉘 윌리엄스 | 레베카 퍼거슨 | 젠데이아 콜먼
벤허,https://www.kobis.or.kr/common/mast/movie/2016/08/4724158073944459b811801bb891cf4d.jpg,벤허.jpg,20167839,"장편 | 일반영화 | 어드벤처, 드라마 | 123분 9초 | 12세이상관람가 | 미국","2D,3D,4D,IMAX",[주연] 잭 휴스턴 | 토비 켑벨 | 모건 프리먼 | 로드리고 산토로 | 할룩 빌기너 | 요한 필리프 아스베크
말레피센트,https://www.kobis.or.kr/common/mast/movie/2014/05/c5829dda1f314236ac6082dcfb3b4d3b.jpg,말레피센트.jpg,20148383,"장편 | 일반영화 | 액션, 어드벤처, 드라마 | 97분 20초 | 12세이상관람가 | 미국","필름,2D,3D,4D",[주연] 안젤리나 졸리 | 엘르 패닝
라스트 에어벤더,https://www.kobis.or.kr/upload/up_img/cleansing/67/mov_20100767_3.jpg,라스트 에어벤더.jpg,20100767,"장편 | 일반영화 | 액션, 가족, 판타지, 어드벤처 | 103분 0초 | 전체관람가 | 미국","필름,2D,3D,4D",[주연] 잭슨 라스본 | 데브 파텔 | 노아 링어  | 니콜라 펠츠
기억의 밤,https://www.kobis.or.kr/common/mast/movie/2017/11/1b1787f3956941b989c461602b6cbca7.jpg,기억의 밤.jpg,20173581,"장편 | 일반영화 | 미스터리, 스릴러 | 108분 30초 | 15세이상관람가 | 한국",2D,[주연] 강하늘(진석) | 김무열(유석) | 문성근 | 나영희
골든슬럼버,https://www.kobis.or.kr/common/mast/movie/2018/02/623b586eddb54c7d94c88888806094ff.jpg,골든슬럼버.jpg,20168250,"장편 | 일반영화 | 범죄, 드라마 | 108분 30초 | 15세이상관람가 | 한국",2D,[주연] 강동원(건우) | 김의성(민씨) | 한효주(전선영) | 김성균(금철) | 김대명(동규) | 박다은
램페이지,https://www.kobis.or.kr/common/mast/movie/2018/03/739825fb1a2f42ac81e8f61605dfe3ad.jpg,램페이지.jpg,20176917,장편 | 일반영화 | 액션 | 107분 6초 | 12세이상관람가 | 미국,"2D,3D,4D,IMAX,ScreenX",[주연] 드웨인 존슨 | 제프리 딘 모건 | 나오미 해리스 | 말린 애커맨
해피 데스데이,https://www.kobis.or.kr/common/mast/movie/2017/10/37bd73f7a6ca4f5d88c1c1b77fbc1a34.jpg,해피 데스데이.jpg,20174622,"장편 | 일반영화 | 공포(호러), 미스터리, 스릴러 | 96분 12초 | 15세이상관람가 | 미국",2D,[주연] 제시카 로테 | 이스라엘 브로우사드
폼페이: 최후의 날,https://www.kobis.or.kr/common/mast/movie/2014/02/14148a92922f49a5942f58131dc2a6c5.jpg,폼페이- 최후의 날.jpg,20134028,"장편 | 일반영화 | 액션, 어드벤처, 드라마 | 104분 20초 | 15세이상관람가 | 미국, 독일","필름,2D,3D,4D",[주연] 킷 해링턴 | 에밀리 브라우닝 | 키퍼 서덜랜드 | 캐리 앤 모스 | 제시카 루카스
브이아이피,https://www.kobis.or.kr/common/mast/movie/2017/08/8471ff3c6c5441fdbbb55d7bdb340567.jpg,브이아이피.jpg,20164174,"장편 | 일반영화 | 범죄, 드라마 | 127분 55초 | 청소년관람불가 | 한국",2D,[주연] 장동건 | 김명민 | 박희순 | 이종석(김광일)
