,영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
0,엘르,https://www.kobis.or.kr/common/mast/movie/2017/05/0bb4c5b69dbc43fdb08628fc5856635e.jpg,엘르.jpg,20175662,"장편 | 예술영화 | 드라마, 스릴러 | 130분 58초 | 청소년관람불가 | 프랑스, 독일, 벨기에",2D,[주연] 이자벨 위페르 | 로랑 라피트 | 앤 콘시니
1,키코리키: 황금모자의 비밀,https://www.kobis.or.kr/common/mast/movie/2017/01/0ae3d4f78fdf494aaf612e17d30f399c.jpg,키코리키- 황금모자의 비밀.jpg,20168611,장편 | 예술영화 | 애니메이션 | 79분 57초 | 전체관람가 | 러시아,2D,
2,"그 시절, 우리가 좋아했던 소녀",https://www.kobis.or.kr/common/mast/movie/2021/04/7ceeddca64894712ac9283a03535db04.jpg,"그 시절, 우리가 좋아했던 소녀.jpg",20128588,장편 | 예술영화 | 멜로/로맨스 | 107분 0초 | 15세이상관람가 | 대만,2D,[주연] 가진동(커징텅) | 진연희(션자이) | 언승우
3,드래곤 헌터,https://www.kobis.or.kr/common/mast/movie/2012/12/d5ebe3c11b76496db4c51f8d3a0acfa6.jpg,드래곤 헌터.jpg,20123741,"장편 | 일반영화 | 애니메이션, 어드벤처 | 82분 0초 | 전체관람가 | 프랑스, 독일","필름,2D,4D",[주연] 장광(리안츄) | 김기리(귀즈도) | 박지윤(조이)
4,피터와 모글리의 크리스마스 어드벤처,https://www.kobis.or.kr/common/mast/movie/2017/11/1e73764ce2de432386db4aadf834298a.jpg,피터와 모글리의 크리스마스 어드벤처.jpg,20175288,장편 | 예술영화 | 애니메이션 | 75분 33초 | 전체관람가 | 인도,2D,
5,"오늘 밤, 로맨스 극장에서",https://www.kobis.or.kr/common/mast/movie/2018/06/f89b6691fbff4627b8f0a70c7c0a3592.jpg,"오늘 밤, 로맨스 극장에서.jpg",20182564,"장편 | 예술영화 | 판타지, 멜로/로맨스 | 108분 58초 | 전체관람가 | 일본",2D,[주연] 아야세 하루카 | 사카구치 켄타로
6,몬스터 왕국,https://www.kobis.or.kr/common/mast/movie/2014/04/d602dcdd711742158d4cc11a520a1a83.jpg,몬스터 왕국.jpg,20148277,"장편 | 일반영화 | 애니메이션, 어드벤처 | 78분 33초 | 전체관람가 | 스웨덴, 덴마크","필름,2D",[주연] 김준호
7,누구의 딸도 아닌 해원,https://www.kobis.or.kr/common/mast/movie/2013/01/d13c1598c15c4a719d2ce7d516b3ab40.jpg,누구의 딸도 아닌 해원.jpg,20121741,장편 | 예술영화 | 드라마 | 90분 0초 | 청소년관람불가 | 한국,"필름,2D",[주연] 정은채(해원) | 이선균(성준)
8,펭귄 하이웨이,https://www.kobis.or.kr/common/mast/movie/2018/09/e8533d90c3d64c0dbce8c58bbd4a0ed4.jpg,펭귄 하이웨이.jpg,20187521,"장편 | 예술영화 | 애니메이션, 어드벤처, 판타지 | 117분 42초 | 전체관람가 | 일본",2D,[주연] 키타 카나(아오야마) | 아오이 유우
9,안도 타다오,https://www.kobis.or.kr/common/mast/movie/2019/04/effbeea6d37b4c2fb7f200b79a19ecd1.jpg,안도 타다오.jpg,20169323,장편 | 예술영화 | 다큐멘터리 | 73분 13초 | 전체관람가 | 일본,2D,
10,뫼비우스,https://www.kobis.or.kr/common/mast/movie/2013/08/3853f8599fc14daab70d4fa1302bd44f.jpg,뫼비우스.jpg,20139461,"장편 | 예술,독립 영화 | 드라마 | 87분 50초 | 청소년관람불가 | 한국","필름,2D",[주연] 조재현 | 서영주(아들) | 이나라(어머니/ 또 다른 여자)
11,더 헌트,https://www.kobis.or.kr/common/mast/movie/2013/01/083bc1aafbec4ab3bb981789817e06c2.jpg,더 헌트.jpg,20122222,장편 | 예술영화 | 드라마 | 115분 0초 | 15세이상관람가 | 덴마크,"필름,2D",[주연] 매즈 미켈슨(루카스) | 토마스 보 라센(테오) | 알렉산드라 라파포르(나디아 ) | 앤 루이스 하싱(아그네스)
12,서태지밴드 라이브 투어 <더 뫼비우스>,https://www.kobis.or.kr/common/mast/movie/2012/12/b82903500f8a491a9461e9fd9093745d.jpg,서태지밴드 라이브 투어 -더 뫼비우스-.jpg,20100266,"장편 | 예술영화 | 다큐멘터리, 공연 | 87분 0초 | 전체관람가 | 한국",필름,[주연] 서태지 밴드
13,하비의 마지막 로맨스,https://www.kobis.or.kr/upload/up_img/cleansing/47/mov_20101047_3.jpg,하비의 마지막 로맨스.jpg,20101047,"장편 | 예술영화 | 멜로/로맨스, 드라마 | 92분 0초 | 12세이상관람가 | 미국","필름,2D",[주연] 더스틴 호프만(하비 샤인) | 엠마 톰슨(케이트 월커)
14,빠삐용,https://www.kobis.or.kr/common/mast/movie/2019/01/42e4d82103134236bf8dd660915df4c4.jpg,빠삐용.jpg,20195789,"장편 | 예술영화 | 범죄, 드라마 | 133분 0초 | 15세이상관람가 | 미국",2D,[주연] 찰리 허냄 | 라미 말렉
15,음모자,https://www.kobis.or.kr/upload/up_img/2011/06/mov_1BDEC1_20110620180332_1.jpg,음모자.jpg,20110988,장편 | 예술영화 | 드라마 | 123분 0초 | 12세이상관람가 | 미국,"필름,2D",[주연] 로빈 라이트(메리 서랫) | 노먼 리더스(루이스) | 케빈 클라인(에드윈 스탠턴) | 제임스 맥어보이(프레더릭 에이큰 )
16,녹터널 애니멀스,https://www.kobis.or.kr/common/mast/movie/2016/12/0d71372058d94290bb0561fd66d33bf8.jpg,녹터널 애니멀스.jpg,20164928,"장편 | 예술영화 | 드라마, 스릴러 | 116분 35초 | 청소년관람불가 | 미국",2D,[주연] 에이미 아담스 | 제이크 질렌할 | 마이클 섀넌 | 애론 테일러 존슨
17,신은 죽지 않았다 2,https://www.kobis.or.kr/common/mast/movie/2017/03/e9662878a811416a8fb9c630434aab43.jpg,신은 죽지 않았다 2.jpg,20162568,장편 | 예술영화 | 드라마 | 120분 30초 | 12세이상관람가 | 미국,2D,[주연] 멜리사 조안 하트 | 제시 멧칼피
18,파운더,https://www.kobis.or.kr/common/mast/movie/2017/03/33dd9825a09041b4a04278e7aa44b9da.jpg,파운더.jpg,20172125,장편 | 예술영화 | 드라마 | 115분 10초 | 15세이상관람가 | 미국,2D,[주연] 마이클 키튼
19,필로미나의 기적,https://www.kobis.or.kr/common/mast/movie/2014/03/06e7e33417f344109aee454383a62305.jpg,필로미나의 기적.jpg,20147679,"장편 | 예술영화 | 드라마 | 97분 56초 | 12세이상관람가 | 영국, 미국, 프랑스","필름,2D",[주연] 주디 덴치 | 스티브 쿠건
