,영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
0,반가운 살인자,https://www.kobis.or.kr/upload/up_img/cleansing/29/mov_20100129_5.jpg,반가운 살인자.jpg,20100129,"장편 | 일반영화 | 코미디, 스릴러 | 107분 0초 | 15세이상관람가 | 한국","필름,2D","[주연] 유오성 | 김동욱 | 심은경(영석의 딸, 김하린)"
1,우는 남자,https://www.kobis.or.kr/common/mast/movie/2014/05/2fb283824da241abaab90c570fa337e7.jpg,우는 남자.jpg,20132482,"장편 | 일반영화 | 액션, 드라마 | 116분 0초 | 청소년관람불가 | 한국","필름,2D",[주연] 장동건 | 김민희
2,콜롬비아나,https://www.kobis.or.kr/upload/up_img/2011/08/mov_8H1B7D_20110825171433_1.jpg,콜롬비아나.jpg,20111671,"장편 | 일반영화 | 액션 | 105분 0초 | 15세이상관람가 | 미국, 프랑스","필름,2D",[주연] 칼럼 블루 | 조 샐다나(카탈리아 )
3,타잔 3D,https://www.kobis.or.kr/common/mast/movie/2013/12/951a266cfdbc46508bfee806b52cae09.jpg,타잔 3D.jpg,20134533,"장편 | 일반영화 | 애니메이션, 액션, 어드벤처 | 94분 8초 | 전체관람가 | 독일","필름,2D,3D,4D",[주연] 켈란 루츠 | 스펜서 로크
4,레터스 투 줄리엣,https://www.kobis.or.kr/upload/up_img/cleansing/75/mov_20100975_3.jpg,레터스 투 줄리엣.jpg,20100975,"장편 | 일반영화 | 멜로/로맨스, 코미디 | 105분 0초 | 12세이상관람가 | 미국","필름,2D",[주연] 아만다 사이프리드(소피) | 크리스토퍼 에건(찰리) | 가엘 가르시아 베르날(빅터) | 바네사 레드그레이브(클레어)
5,황제를 위하여,https://www.kobis.or.kr/common/mast/movie/2014/06/a327b2e5daa14fc3b2cce039c94c29b8.jpg,황제를 위하여.jpg,20134591,"장편 | 일반영화 | 액션, 범죄 | 104분 5초 | 청소년관람불가 | 한국","필름,2D",[주연] 이민기 | 박성웅(정상하) | 이태임(연수)
6,맨 온 렛지,https://www.kobis.or.kr/common/mast/movie/2012/02/6858682512ab4b53b740b290702daf84.jpg,맨 온 렛지.jpg,20124420,"장편 | 일반영화 | 범죄, 스릴러 | 102분 0초 | 15세이상관람가 | 미국","필름,2D",[주연] 샘 워싱턴(닉 캐시디 ) | 엘리자베스 뱅크스(리디아 앤더슨 )
7,패션왕,https://www.kobis.or.kr/common/mast/movie/2014/10/6ad3dead6f4f46e8b32cc4006d0bd190.jpg,패션왕.jpg,20147129,"장편 | 일반영화 | 코미디, 드라마 | 114분 27초 | 15세이상관람가 | 한국","필름,2D",[주연] 주원(우기명) | 최진리(곽은진) | 안재현(김원호) | 박세영(박혜진) | 김성오(남정)
8,그것: 두 번째 이야기,https://www.kobis.or.kr/common/mast/movie/2019/08/50cbbb01c41244529d61feaf01645bbe.jpg,그것- 두 번째 이야기.jpg,20192804,장편 | 일반영화 | 스릴러 | 169분 11초 | 15세이상관람가 | 미국,"2D,4D,IMAX,ScreenX",[주연] 제임스 맥어보이 | 제시카 차스테인 | 빌 헤이더 | 제이 라이언 | 제임스 랜슨 | 이사야 무스타파 | 앤디 빈 | 빌 스카스가드 | 하비에르 보텟 | 자비에 돌란
9,47 미터,https://www.kobis.or.kr/common/mast/movie/2017/07/0157104a93d14065a833f8ce182284b6.jpg,47 미터.jpg,20177181,"장편 | 일반영화 | 스릴러, 공포(호러) | 89분 11초 | 15세이상관람가 | 영국",2D,[주연] 맨디 무어 | 클레어 홀트 | 매튜 모딘
10,반가운 살인자,https://www.kobis.or.kr/upload/up_img/cleansing/29/mov_20100129_5.jpg,반가운 살인자.jpg,20100129,"장편 | 일반영화 | 코미디, 스릴러 | 107분 0초 | 15세이상관람가 | 한국","필름,2D","[주연] 유오성 | 김동욱 | 심은경(영석의 딸, 김하린)"
11,더 울프 오브 월스트리트,https://www.kobis.or.kr/common/mast/movie/2014/01/3f44221501f74457a30fa3dd1e3dc013.jpg,더 울프 오브 월스트리트.jpg,20136812,"장편 | 일반영화 | 범죄, 드라마 | 179분 18초 | 청소년관람불가 | 미국","필름,2D",[주연] 레오나르도 디카프리오(조단 벨포트) | 매튜 매커너히 | 조나 힐
12,퀴즈왕,https://www.kobis.or.kr/upload/up_img/cleansing/13/mov_20100813_3.jpg,퀴즈왕.jpg,20100813,장편 | 일반영화 | 코미디 | 121분 0초 | 15세이상관람가 | 한국,"필름,2D",[주연] 김수로(이도엽) | 한재석(박상길) | 송영창(도호만) | 류승룡(김상도) | 장영남(장팔녀) | 류덕환(오칠주) | 이수영(이수영) | 이종필(우이모 회원 3) | 김병옥(김정상) | 이해영(최하영) | 심은경(김여나) | 이상훈(이상훈)
13,마법사의 제자,https://www.kobis.or.kr/upload/up_img/cleansing/81/mov_20100381_3.jpg,마법사의 제자.jpg,20100381,"장편 | 일반영화 | 드라마, 액션, 판타지, 어드벤처 | 107분 0초 | 전체관람가 | 미국","필름,2D",[주연] 니콜라스 케이지
14,다크 섀도우,https://www.kobis.or.kr/common/mast/movie/2012/04/f16964d2a59e4e5587feb6b5244b6f82.jpg,다크 섀도우.jpg,20125866,"장편 | 일반영화 | 드라마, 공포(호러), 스릴러, 미스터리 | 112분 0초 | 15세이상관람가 | 미국","필름,2D,IMAX",[주연] 조니 뎁 | 미셀 파이퍼 | 에바 그린
15,어린왕자,https://www.kobis.or.kr/common/mast/movie/2015/12/1a92ae3bb3b741e4b4e0caef75e2e4cc.jpg,어린왕자.jpg,20155563,"장편 | 예술영화 | 애니메이션, 판타지, 어드벤처 | 106분 1초 | 전체관람가 | 프랑스","필름,2D,3D",[주연] 제프 브리지스 | 레이첼 맥아담스 | 매켄지 포이 | 마리옹 꼬띠아르 | 제임스 프랭코 | 베니치오 델 토로 | 알버트 브룩스 | 리키 제바이스 | 폴 지아마티 | 버드 코트 | 릴리 오스본
16,인시디어스: 두번째 집,https://www.kobis.or.kr/common/mast/movie/2013/11/ad2ac935e6c84ff09db498a5ad49f32a.jpg,인시디어스- 두번째 집.jpg,20135657,장편 | 일반영화 | 공포(호러) | 105분 37초 | 15세이상관람가 | 미국,"필름,2D",[주연] 로즈 번 | 패트릭 윌슨 | 린 샤예 | 타이 심킨스 | 바바라 허쉬 | 다니엘 비서티
17,백설공주,https://www.kobis.or.kr/common/mast/movie/2012/04/aa48bc5340454187935dd843c531cc22.jpg,백설공주.jpg,20125426,"장편 | 일반영화 | 판타지, 어드벤처 | 108분 0초 | 전체관람가 | 미국","필름,2D,4D",[주연] 줄리아 로버츠(왕비) | 릴리 콜린스(백설공주) | 아미 해머(왕자)
18,극장판 헬로카봇: 옴파로스 섬의 비밀,https://www.kobis.or.kr/common/mast/movie/2019/01/756b9a567ca54867b42a511fac7578f0.jpg,극장판 헬로카봇- 옴파로스 섬의 비밀.jpg,20185478,장편 | 일반영화 | 애니메이션 | 78분 26초 | 전체관람가 | 한국,2D,"[주연] 이지현(차탄 목소리) | 김용준(차산/코어 목소리) | 양정화(전다해/장군/M라인 목소리) | 사문영(에이샤크/수지 목소리) | 홍범기(마이모스/S라인/꼬질꼬질 목소리) | 이현(크라이언/꾸질꾸질/정대기 목소리) | 시영준(티라투스/외계사령관 목소리) | 엄상현(팔로/T라인 목소리) | 임정길(로드세이버 목소리) | 서윤선(마이티가드 목소리) | 시영준(티라투스, 외계사령관) | 홍범기(마이모스, S라인, 꼬질꼬질) | 김용준(차산, 코어)"
19,인비저블맨,https://www.kobis.or.kr/common/mast/movie/2020/02/95c0aa1511f144cd88f670f101684f37.jpg,인비저블맨.jpg,20199842,장편 | 일반영화 | 공포(호러) | 124분 21초 | 15세이상관람가 | 미국,"2D,IMAX",[주연] 엘리자베스 모스
20,채피,https://www.kobis.or.kr/common/mast/movie/2015/03/dd9218bc56574625b4d19c93b562752e.jpg,채피.jpg,20156402,"장편 | 일반영화 | 액션, 스릴러 | 120분 10초 | 15세이상관람가 | 미국","필름,2D,IMAX",[주연] 휴 잭맨 | 샬토 코플리 | 시고니 위버 | 데브 파텔
21,섀도우 헌터스: 뼈의 도시,https://www.kobis.or.kr/common/mast/movie/2013/09/76012901d42141819156d335556ae4f7.jpg,섀도우 헌터스- 뼈의 도시.jpg,20129588,"장편 | 일반영화 | 판타지, 액션 | 129분 49초 | 15세이상관람가 | 미국, 독일","필름,2D",[주연] 릴리 콜린스(클레리 프레이) | 제이미 캠벨 바우어(제이스 웨이랜드) | 케빈 지거스(알렉 라이트우드 ) | 제미마 웨스트(이사벨 라이트우트 ) | 레나 헤디(조셀린 프레이) | 조나단 리스 마이어스(발렌타인)
22,루퍼,https://www.kobis.or.kr/common/mast/movie/2012/08/403c6c28e0724ea9be40bf5b46f007e8.jpg,루퍼.jpg,20128270,"장편 | 일반영화 | SF, 액션 | 119분 0초 | 청소년관람불가 | 미국","필름,2D",[주연] 조셉 고든 레빗 | 브루스 윌리스 | 에밀리 블런트
23,앨빈과 슈퍼밴드3,https://www.kobis.or.kr/upload/up_img/2011/11/mov_475B2G_20111107173728_1.jpg,앨빈과 슈퍼밴드3.jpg,20113311,"장편 | 일반영화 | 애니메이션, 코미디, 어드벤처, 가족 | 전체관람가 | 미국","필름,2D",[주연] 저스틴 롱(앨빈 ) | 제이슨 리(데이브 ) | 매튜 그레이 구블러(사이먼) | 제시 맥카트니(데오도르 )
24,화이트 하우스 다운,https://www.kobis.or.kr/common/mast/movie/2013/06/1e3a4fd685d24b318612e7ed1dbe0690.jpg,화이트 하우스 다운.jpg,20137815,"장편 | 일반영화 | 액션, 드라마 | 131분 33초 | 15세이상관람가 | 미국","필름,2D",[주연] 채닝 테이텀 | 제이미 폭스 | 매기 질렌할
25,이스케이프 룸,https://www.kobis.or.kr/common/mast/movie/2019/03/9b2bf646eaa345d493a57e44d82a79ce.jpg,이스케이프 룸.jpg,20197283,"장편 | 일반영화 | 액션, 공포(호러), 스릴러 | 99분 30초 | 15세이상관람가 | 미국",2D,[주연] 테일러 러셀 | 로건 밀러 | 제이 엘리스 | 타일러 라빈 | 데보라 앤 월 | 닉 도다니
26,파파,https://www.kobis.or.kr/common/mast/movie/2012/01/e1e4b6b6a40640f4be2039f3fe70c9a6.jpg,파파.jpg,20113643,"장편 | 일반영화 | 가족, 코미디 | 116분 0초 | 12세이상관람가 | 한국, 미국","필름,2D",[주연] 박용우(춘섭) | 고아라(준)
27,스텝 업: 올 인,https://www.kobis.or.kr/common/mast/movie/2014/07/4a0428b500d14daca20fbb11c518819e.jpg,스텝 업- 올 인.jpg,20149930,"장편 | 일반영화 | 드라마, 멜로/로맨스 | 111분 44초 | 12세이상관람가 | 미국","필름,2D",[주연] 라이언 구즈만 | 브리아나 에비건 | 애덤 G. 세바니 | 알리슨 스토너
