,영화 이름,이미지 링크,이미지 이름,영화 코드,영화 정보,상영타입,주연배우
28,싱 스트리트,https://www.kobis.or.kr/common/mast/movie/2016/04/c601471ee40645f8bdd6946d9587a4e2.jpg,싱 스트리트.jpg,20163018,"장편 | 예술영화 | 드라마, 멜로/로맨스 | 105분 26초 | 15세이상관람가 | 아일랜드, 영국, 미국",2D,[주연] 퍼디아 월시-필로 | 루시 보인턴 | 잭 레이너
29,레지던트 이블 5 : 최후의 심판,https://www.kobis.or.kr/common/mast/movie/2012/07/b776f113e27f4e1799bb00a16aaee2cd.jpg,레지던트 이블 5 - 최후의 심판.jpg,20127401,"장편 | 일반영화 | 액션, 공포(호러), SF, 스릴러 | 95분 0초 | 청소년관람불가 | 미국, 독일","필름,2D,3D,IMAX",[주연] 밀라 요보비치(엘리스) | 미셸 로드리게즈 | 리빙빙 | 시에나 길로리 | 오데드 페르
30,인시디어스4: 라스트 키,https://www.kobis.or.kr/common/mast/movie/2017/12/41e74502c1db4bd296d5465f02026ffb.jpg,인시디어스4- 라스트 키.jpg,20178126,"장편 | 일반영화 | 공포(호러), 미스터리, 스릴러 | 103분 2초 | 15세이상관람가 | 미국",2D,[주연] 스펜서 로크 | 린 샤예 | 조시 스튜어트 | 하비에르 보텟
31,양자물리학,https://www.kobis.or.kr/common/mast/movie/2019/09/e003dc77c10946c78963e4796a942eaf.jpg,양자물리학.jpg,20194456,장편 | 일반영화 | 범죄 | 119분 58초 | 15세이상관람가 | 한국,2D,[주연] 박해수(이찬우) | 서예지(성은영) | 김상호(박기헌) | 김응수(정갑택) | 변희봉(백영감) | 김영재(최지훈) | 이창훈(양윤식)
32,아이스 에이지: 지구 대충돌,https://www.kobis.or.kr/common/mast/movie/2016/07/c5a329825bfb45329a6db3aa357eb0f1.jpg,아이스 에이지- 지구 대충돌.jpg,20161286,"장편 | 일반영화 | 애니메이션, 어드벤처, 코미디 | 94분 27초 | 전체관람가 | 미국","2D,3D,4D",[주연] 존 레귀자모(시드) | 레이 로마노(매니) | 제니퍼 로페즈(쉬라) | 아담 드바인(줄리안) | 제시 타일러 퍼거슨
33,그린치,https://www.kobis.or.kr/common/mast/movie/2018/12/d0268211a31a40f4bc074e77246ec172.jpg,그린치.jpg,20182421,"장편 | 일반영화 | 애니메이션, 코미디 | 89분 48초 | 전체관람가 | 미국","2D,3D,4D",[주연] 베네딕트 컴버배치
34,메카닉: 리크루트,https://www.kobis.or.kr/common/mast/movie/2016/09/5310ac5dc938467dbcaa2ca1a3260eec.jpg,메카닉- 리크루트.jpg,20167261,"장편 | 일반영화 | 액션, 범죄, 스릴러 | 97분 43초 | 15세이상관람가 | 미국, 프랑스","2D,4D",[주연] 제이슨 스타뎀(비숍) | 제시카 알바(지나) | 토미 리 존스
35,극장판 요괴워치: 탄생의 비밀이다냥!,https://www.kobis.or.kr/common/mast/movie/2015/06/1a3fe70b8cc84bac9a1b1f7898733da0.jpg,극장판 요괴워치- 탄생의 비밀이다냥!.jpg,20150501,장편 | 일반영화 | 애니메이션 | 96분 0초 | 전체관람가 | 일본,"필름,2D",
36,점박이 한반도의 공룡2 : 새로운 낙원,https://www.kobis.or.kr/common/mast/movie/2018/11/fd326eaa269741be977124174c0a10c9.jpg,점박이 한반도의 공룡2 - 새로운 낙원.jpg,20183785,장편 | 일반영화 | 애니메이션 | 93분 59초 | 전체관람가 | 한국,"2D,3D,ScreenX",[주연] 박희순(점박이 목소리) | 라미란(송곳니 목소리) | 김성균(싸이 목소리)
37,나쁜 녀석들: 포에버,https://www.kobis.or.kr/common/mast/movie/2020/01/231be7c922d741baacf63dd7551fc2f8.jpg,나쁜 녀석들- 포에버.jpg,20196670,장편 | 일반영화 | 액션 | 123분 47초 | 청소년관람불가 | 미국,"2D,4D,IMAX,ScreenX",[주연] 윌 스미스 | 마틴 로렌스 | 바네사 허진스
38,원더 우먼 1984,https://www.kobis.or.kr/common/mast/movie/2020/12/a77fa983334b444f9a537180ff76bd6c.jpg,원더 우먼 1984.jpg,20192567,"장편 | 일반영화 | 액션, 어드벤처 | 150분 59초 | 12세이상관람가 | 미국","2D,4D,IMAX,ScreenX,DOLBYCINEMA",[주연] 갤 가돗(다이애나 프린스/원더우먼) | 크리스 파인(스티브 트레버) | 크리스틴 위그(바바라 미네르바/치타) | 페드로 파스칼(맥스웰 로드) | 코니 닐슨(히폴리타) | 로빈 라이트(안티오페) | 가브리엘라 와일드
39,너는 펫,https://www.kobis.or.kr/upload/up_img/2011/10/mov_550D8J_20111031172531_1.jpg,너는 펫.jpg,20111928,"장편 | 일반영화 | 멜로/로맨스, 코미디 | 110분 0초 | 12세이상관람가 | 한국","필름,2D",[주연] 장근석 | 김하늘
40,"그날, 바다",https://www.kobis.or.kr/common/mast/movie/2018/04/00b78490a55f411b869ecde744adce94.jpg,"그날, 바다.jpg",20182352,"장편 | 예술,독립 영화 | 다큐멘터리 | 110분 0초 | 15세이상관람가 | 한국",2D,[주연] 정우성(내레이션) | 김지영(인터뷰이)
41,툼레이더,https://www.kobis.or.kr/common/mast/movie/2018/03/79e1b13088e2484d83499dab259168af.jpg,툼레이더.jpg,20180564,"장편 | 일반영화 | 액션, 어드벤처 | 117분 39초 | 12세이상관람가 | 미국","2D,3D,4D,IMAX",[주연] 알리시아 비칸데르 | 크리스틴 스콧 토마스 | 월튼 고긴스 | 도미닉 웨스트 | 오언조
42,애프터 어스,https://www.kobis.or.kr/common/mast/movie/2013/04/ab6a96cee9d540b7b285b33a2d5d5981.jpg,애프터 어스.jpg,20137426,"장편 | 일반영화 | SF, 액션, 어드벤처 | 100분 0초 | 12세이상관람가 | 미국","필름,2D",[주연] 윌 스미스 | 제이든 스미스
43,국제수사,https://www.kobis.or.kr/common/mast/movie/2020/09/f8b7127c4e854c79b78cb2552dff2451.jpg,국제수사.jpg,20184482,"장편 | 일반영화 | 코미디, 액션 | 105분 50초 | 15세이상관람가 | 한국",2D,[주연] 곽도원(홍병수) | 김대명(황만철) | 김희원(패트릭) | 김상호(용배)
44,메리와 마녀의 꽃,https://www.kobis.or.kr/common/mast/movie/2017/11/c72b8163609144368e5721673e10a49a.jpg,메리와 마녀의 꽃.jpg,20174585,"장편 | 일반영화 | 애니메이션, 어드벤처 | 102분 49초 | 전체관람가 | 일본",2D,[주연] 스기사키 하나 | 카미키 류노스케
45,페르디난드,https://www.kobis.or.kr/common/mast/movie/2017/12/5027fcf31d0e4f0685aea6cb294884e6.jpg,페르디난드.jpg,20177104,"장편 | 일반영화 | 애니메이션, 어드벤처, 코미디 | 107분 58초 | 전체관람가 | 미국","2D,3D,4D",[주연] 존 시나 | 케이트 맥키넌 | 데이비드 테넌트 | 바비 카나베일 | 미구엘 앙겔 실베스트르 | 지나 로드리게즈
46,사이코메트리,https://www.kobis.or.kr/common/mast/movie/2013/02/30071117e5d44a0ab4ec9c999ae5ae8f.jpg,사이코메트리.jpg,20134407,장편 | 일반영화 | 미스터리 | 108분 0초 | 청소년관람불가 | 한국,"필름,2D",[주연] 김강우(양춘동 / 형사) | 김범(김 준) | 박혁권(기 우) | 이준혁(양 수) | 박성웅(철현) | 서영화(준의 모)
47,침입자,https://www.kobis.or.kr/common/mast/movie/2020/05/4f1318fb3e2a430081c25f27909a0286.jpg,침입자.jpg,20197863,"장편 | 일반영화 | 미스터리, 스릴러 | 102분 7초 | 15세이상관람가 | 한국",2D,[주연] 송지효(유진 ) | 김무열(서진 ) | 김무열(서진)
48,버닝,https://www.kobis.or.kr/common/mast/movie/2018/04/121382232f6644b59e88abf8fad6ea13.jpg,버닝.jpg,20173202,장편 | 일반영화 | 미스터리 | 147분 52초 | 청소년관람불가 | 한국,2D,[주연] 유아인 | 스티븐 연 | 전종서
49,챔프,https://www.kobis.or.kr/upload/up_img/2011/08/mov_5IBCBF_20110825172024_1.jpg,챔프.jpg,20112082,장편 | 일반영화 | 드라마 | 133분 0초 | 12세이상관람가 | 한국,"필름,2D",[주연] 차태현(승호) | 김수정(예승) | 유오성 | 박하선
50,7년의 밤,https://www.kobis.or.kr/common/mast/movie/2018/03/cf4f7d32ea5e465b9c5268463c4bb754.jpg,7년의 밤.jpg,20154908,"장편 | 일반영화 | 스릴러, 드라마 | 123분 6초 | 15세이상관람가 | 한국",2D,[주연] 류승룡(최현수) | 장동건(오영제) | 송새벽(안승환) | 고경표(최서원)
51,메가로돈,https://www.kobis.or.kr/common/mast/movie/2018/07/50cfd439e7804b84a5b417d08768a333.jpg,메가로돈.jpg,20183584,"장편 | 일반영화 | 액션, 공포(호러), SF | 113분 6초 | 12세이상관람가 | 미국","2D,3D,4D,IMAX,ScreenX",[주연] 제이슨 스타뎀 | 리빙빙
52,러브 & 드럭스,https://www.kobis.or.kr/upload/up_img/2011/02/mov_H0B4J2_20110222171239_1.jpg,러브 & 드럭스.jpg,20110031,"장편 | 일반영화 | 멜로/로맨스, 코미디 | 112분 0초 | 청소년관람불가 | 미국","필름,2D",[주연] 앤 해서웨이
53,몬스터,https://www.kobis.or.kr/common/mast/movie/2014/02/dfd014ccb2e9431f87e3b48d09d5fa15.jpg,몬스터.jpg,20136060,장편 | 일반영화 | 스릴러 | 113분 39초 | 청소년관람불가 | 한국,"필름,2D",[주연] 이민기 | 김고은(복순) | 김뢰하(의상) | 배진웅(덩어리삼인조2)
54,콰이어트 플레이스,https://www.kobis.or.kr/common/mast/movie/2018/04/f21c781d9dd643c4aec12534a235464c.jpg,콰이어트 플레이스.jpg,20181788,"장편 | 일반영화 | 공포(호러), 스릴러, 드라마 | 90분 6초 | 15세이상관람가 | 미국",2D,[주연] 에밀리 블런트 | 존 크래신스키 | 노아 주프 | 밀리센트 시몬스
55,명탐정 코난: 11번째 스트라이커,https://www.kobis.or.kr/common/mast/movie/2012/06/53e2560f76854581964c51a3afcc092c.jpg,명탐정 코난- 11번째 스트라이커.jpg,20127306,장편 | 일반영화 | 애니메이션 | 110분 0초 | 12세이상관람가 | 일본,"필름,2D",[주연] 김선혜(코난 (한국어 목소리)) | 강수진(남도일 (한국어 목소리)) | 이정구(유명한 (한국어 목소리)) | 이현진(유미란 (한국어 목소리))
56,언노운,https://www.kobis.or.kr/upload/up_img/2011/02/mov_1HJ00C_20110214133851_1.jpg,언노운.jpg,20119429,"장편 | 일반영화 | 드라마, 스릴러, 액션 | 113분 0초 | 15세이상관람가 | 미국","필름,2D",[주연] 리암 니슨 | 다이앤 크루거
57,헬머니,https://www.kobis.or.kr/common/mast/movie/2015/02/1818d709226c456d92582dd9f64773a8.jpg,헬머니.jpg,20148841,장편 | 일반영화 | 코미디 | 108분 8초 | 청소년관람불가 | 한국,"필름,2D",[주연] 김수미 | 정만식(승현) | 김정태 | 이태란 | 이성민(정부청사남직원) | 이영은(양피디) | 박준금
58,앨빈과 슈퍼밴드2,https://www.kobis.or.kr/upload/up_img/cleansing/61/mov_20090861_3.jpg,앨빈과 슈퍼밴드2.jpg,20090861,"장편 | 일반영화 | 가족, 코미디, 드라마 | 88분 0초 | 전체관람가 | 미국","필름,2D",[주연] 저스틴 롱 | 매튜 그레이 구블러 | 제이슨 리
59,퍼시 잭슨과 괴물의 바다,https://www.kobis.or.kr/common/mast/movie/2013/08/f007b99081bf4c0aa111c61fc3ea7c08.jpg,퍼시 잭슨과 괴물의 바다.jpg,20137562,"장편 | 일반영화 | 판타지, 어드벤처 | 106분 0초 | 12세이상관람가 | 미국","필름,2D,3D,4D",[주연] 로건 레먼(퍼시 잭슨) | 알렉산드라 다드다리오(아나베스 체이스) | 브랜든 T. 잭슨(그로버 언더우드)
60,얼라이드,https://www.kobis.or.kr/common/mast/movie/2016/12/989495d13cda42a68ed86ee33717b129.jpg,얼라이드.jpg,20168381,"장편 | 일반영화 | 스릴러, 드라마, 멜로/로맨스 | 123분 23초 | 15세이상관람가 | 미국",2D,[주연] 브래드 피트(맥스) | 마리옹 꼬띠아르(매리앤) | 리지 캐플란(브리짓)
61,호두까기 인형과 4개의 왕국,https://www.kobis.or.kr/common/mast/movie/2018/11/6fc4d7d4be65422bbc60d57f215906ca.jpg,호두까기 인형과 4개의 왕국.jpg,20189843,"장편 | 일반영화 | 판타지, 드라마 | 99분 6초 | 전체관람가 | 미국","2D,4D",[주연] 키이라 나이틀리 | 매켄지 포이 | 헬렌 미렌 | 모건 프리먼 | 매튜 맥퍼딘
62,장르만 로맨스,https://www.kobis.or.kr/common/mast/movie/2021/10/2e351df7efef4a1b98b8fe725a4c8b71.jpg,장르만 로맨스.jpg,20191243,"장편 | 일반영화 | 드라마, 코미디 | 113분 14초 | 15세이상관람가 | 한국",2D,[주연] 류승룡(현) | 오나라(미애) | 김희원(순모) | 이유영 | 성유빈(성경) | 무진성(유진)
63,소셜 네트워크,https://www.kobis.or.kr/common/mast/movie/2021/08/42b3398f0cb8439e82db9d60bb318393.jpg,소셜 네트워크.jpg,20101013,장편 | 일반영화 | 드라마 | 120분 0초 | 15세이상관람가 | 미국,"필름,2D",[주연] 제시 아이젠버그(마크 주커버그) | 앤드류 가필드(왈도 세브린) | 저스틴 팀버레이크(숀 파크) | 루니 마라 | 아미 해머
64,고스트버스터즈,https://www.kobis.or.kr/common/mast/movie/2016/08/adf1a9c1b6374b989f058c3d07a68335.jpg,고스트버스터즈.jpg,20162404,"장편 | 일반영화 | 액션, 코미디, SF | 116분 28초 | 12세이상관람가 | 미국","2D,3D,4D,IMAX",[주연] 멜리사 맥카시 | 크리스 헴스워스 | 크리스틴 위그 | 케이트 맥키넌 | 레슬리 존스
65,피라냐,https://www.kobis.or.kr/upload/up_img/cleansing/16/mov_20100816_3.jpg,피라냐.jpg,20100816,"장편 | 일반영화 | 액션, 공포(호러), 스릴러 | 88분 0초 | 청소년관람불가 | 미국","필름,2D,3D,4D",[주연] 엘리자베스 슈(줄리 ) | 제시카 스자르 | 제리 오코넬(데릭 ) | 아담 스콧(노박 ) | 빙 라메스(보안관 )
66,퍼스트 어벤져,https://www.kobis.or.kr/upload/up_img/2011/06/mov_DA75JJ_20110627173348_1.jpg,퍼스트 어벤져.jpg,20111113,"장편 | 일반영화 | 액션, SF | 123분 0초 | 12세이상관람가 | 미국","필름,2D,3D","[주연] 크리스 에반스(스티브 로저스, 캡틴 아메리카 ) | 휴고 위빙(요한 슈미트, 레드 스컬 ) | 헤일리 앳웰(페기 카터 ) | 토미 리 존스(체스터 필립스 )"
67,애드 아스트라,https://www.kobis.or.kr/common/mast/movie/2019/09/bee481d219b14ec6bcf9fd3be1d112ac.jpg,애드 아스트라.jpg,20192982,"장편 | 일반영화 | SF, 스릴러 | 122분 55초 | 12세이상관람가 | 미국","2D,4D,IMAX",[주연] 브래드 피트 | 토미 리 존스 | 리브 타일러 | 루스 네가 | 도날드 서덜랜드
68,거울나라의 앨리스,https://www.kobis.or.kr/common/mast/movie/2016/08/eeb27811ec814df0a6c2f2b9ae3883ba.jpg,거울나라의 앨리스.jpg,20162968,"장편 | 일반영화 | 어드벤처, 가족, 판타지 | 112분 48초 | 12세이상관람가 | 미국","2D,3D,4D",[주연] 조니 뎁 | 앤 해서웨이 | 미아 와시코브스카 | 헬레나 본햄 카터 | 사챠 바론 코헨 | 알란 릭맨 | 마이클 쉰 | 앤드류 스캇
69,발레리안: 천 개 행성의 도시,https://www.kobis.or.kr/common/mast/movie/2020/12/5978e976e3cf4986b24b4d2dcb3f6a4f.jpg,발레리안- 천 개 행성의 도시.jpg,20158047,"장편 | 일반영화 | 액션, 어드벤처, SF | 136분 34초 | 12세이상관람가 | 프랑스","2D,3D,4D,IMAX",[주연] 데인 드한 | 카라 델러비인 | 리한나 | 클라이브 오웬
70,프렌즈: 몬스터섬의비밀,https://www.kobis.or.kr/common/mast/movie/2018/02/6a8758e2218e470792c3cba8124f2e19.jpg,프렌즈- 몬스터섬의비밀.jpg,20113271,"장편 | 일반영화 | 애니메이션, 어드벤처 | 88분 0초 | 전체관람가 | 일본","필름,2D,3D",[주연] 이장원(나키 한국어 목소리) | 엄상현(군조 한국어 목소리) | 김서영(코타케 한국어 목소리) | 윤세웅(오동동 한국어 목소리) | 카토리 싱고(나키 목소리) | 야마데라 코이치(군조 목소리) | 신도 유나(코타케 목소리) | 아베 사다오(오동동 목소리)
71,가려진 시간,https://www.kobis.or.kr/common/mast/movie/2016/10/8aedd4f33694466d911752db193af9a0.jpg,가려진 시간.jpg,20154905,"장편 | 일반영화 | 드라마, 판타지 | 129분 59초 | 12세이상관람가 | 한국",2D,[주연] 강동원(성민) | 신은수(수린) | 이효제(어린 성민)
72,먹고 기도하고 사랑하라,https://www.kobis.or.kr/upload/up_img/cleansing/91/mov_20100991_3.jpg,먹고 기도하고 사랑하라.jpg,20100991,"장편 | 일반영화 | 드라마, 멜로/로맨스 | 139분 0초 | 15세이상관람가 | 미국","필름,2D",[주연] 줄리아 로버츠
