¹è¿ì ¼ö,Accuracy,Precision,Recall,F1-score
10,0.5725190839694656,0.5300678541136556,0.5725190839694656,0.507416512553762
5,0.5776081424936387,0.5240418868663143,0.5776081424936387,0.5087446150373531
2,0.5521628498727735,0.47125896997396677,0.5521628498727735,0.49237200582464
