Model,Accuracy,Precision,Recall,F1-score
LightGBM,0.6666666666666666,0.6667702614040539,0.6666666666666666,0.6666796162603732
XGBoost,0.6590330788804071,0.6594736329074338,0.6590330788804071,0.6589800925678789
CatBoost,0.6972010178117048,0.6972307158656507,0.6972010178117048,0.697102928746603
Hard-Voting,0.6692111959287532,0.6696633573672703,0.6692111959287532,0.669159791297196
Soft-Voting,0.6564885496183206,0.656591748955947,0.6564885496183206,0.6565018946194685
