Model,Accuracy,Precision,Recall,F1-score
LightGBM,0.6513994910941476,0.6517497990328257,0.6513994910941476,0.6513678914494542
XGBoost,0.6666666666666666,0.6682898460149646,0.6666666666666666,0.6662259810116329
CatBoost,0.712468193,0.7128683475118048,0.712468193,0.7124421294437103
Hard-Voting,0.6921119592875318,0.6929348048556011,0.6921119592875318,0.6919803601949228
Soft-Voting,0.7022900763358778,0.7031376145335272,0.7022900763358778,0.7021628276264957
