iter	Passed	Remaining
399	51647	12911
400	51750	12776
401	51856	12641
402	51960	12506
403	52066	12372
404	52167	12236
405	52263	12100
406	52362	11964
407	52468	11831
408	52571	11696
409	52667	11561
410	52762	11425
411	52860	11290
412	52960	11156
413	53060	11022
414	53154	10887
415	53248	10752
416	53345	10617
417	53444	10484
418	53538	10349
419	53633	10215
420	53734	10083
421	53835	9950
422	53935	9817
423	54034	9685
424	54134	9553
425	54236	9421
426	54336	9289
427	54437	9157
428	54535	9025
429	54628	8893
430	54721	8760
431	54815	8628
432	54910	8496
433	55009	8365
434	55108	8234
435	55203	8103
436	55298	7972
437	55400	7842
438	55498	7711
439	55596	7581
440	55694	7451
441	55793	7321
442	55892	7191
443	55983	7061
444	56079	6931
445	56176	6801
446	56279	6672
447	56376	6543
448	56467	6413
449	56568	6285
450	56668	6156
451	56761	6027
452	56858	5899
453	56954	5770
454	57054	5642
455	57152	5514
456	57261	5387
457	57356	5259
458	57450	5131
459	57549	5004
460	57646	4876
461	57747	4749
462	57844	4622
463	57949	4496
464	58049	4369
465	58144	4242
466	58242	4115
467	58345	3989
468	58446	3863
469	58547	3737
470	58647	3610
471	58746	3484
472	58845	3359
473	58943	3233
474	59041	3107
475	59140	2981
476	59237	2856
477	59334	2730
478	59433	2605
479	59532	2480
480	59632	2355
481	59728	2230
482	59828	2105
483	59928	1981
484	60026	1856
485	60127	1732
486	60225	1607
487	60329	1483
488	60432	1359
489	60530	1235
490	60624	1111
491	60720	987
492	60816	863
493	60912	739
494	61009	616
495	61107	492
496	61204	369
497	61306	246
498	61410	123
499	61510	0
