iter	MultiClass
130	0.840645573
131	0.8396445024
132	0.8387533778
133	0.8378603086
134	0.8370572152
135	0.8361467919
136	0.8353589299
137	0.834539453
138	0.8335745677
139	0.8326758829
140	0.8317822669
141	0.831257608
142	0.8304816137
143	0.82970192
144	0.8289291809
145	0.8280442701
146	0.8273211267
147	0.8265398694
148	0.8256546837
149	0.8250740203
150	0.8243754474
151	0.8235844375
152	0.8224679883
153	0.8216122468
154	0.8206830709
155	0.8198126073
156	0.8191347877
157	0.8182982968
158	0.8174413625
159	0.8165976199
160	0.8158949818
161	0.8154732277
162	0.8146924015
163	0.8140004192
164	0.8134708907
165	0.8126569163
166	0.8121328544
167	0.8115723823
168	0.8107170336
169	0.8100204144
170	0.809104758
171	0.808496332
172	0.8078248629
173	0.8069132623
174	0.8062628687
175	0.8057822775
176	0.8052085461
177	0.8045639992
178	0.8039267579
179	0.8032173939
180	0.8026047025
181	0.8019925905
182	0.8011167309
183	0.8004593144
184	0.799611918
185	0.7989317162
186	0.7983583895
187	0.7977426336
188	0.796955212
189	0.7961830471
190	0.7956003518
191	0.794972111
192	0.7944260323
193	0.7938514342
194	0.7932354497
195	0.7924624126
196	0.7918666002
197	0.7912174176
198	0.7905745856
199	0.7900210166
200	0.7891954087
201	0.7886430447
202	0.7878934254
203	0.7872890848
204	0.7864596499
205	0.7859221482
206	0.7855621634
207	0.7849506326
208	0.7843167308
209	0.7837522742
210	0.7832916275
211	0.78287738
212	0.7821609037
213	0.781704451
214	0.7811911645
215	0.7806056287
216	0.780164102
217	0.7796615505
218	0.7791073366
219	0.7785415084
220	0.7779655252
221	0.7774388697
222	0.7768111183
223	0.7763363648
224	0.7757353504
225	0.7753534709
226	0.7746063779
227	0.7741091869
228	0.7736889288
229	0.7730793155
230	0.7726411935
231	0.7721286615
232	0.7715052489
233	0.7711097925
234	0.7704489188
235	0.7698788011
236	0.7693731569
237	0.7689215327
238	0.7684573797
239	0.7678576863
240	0.7674891753
241	0.7670909011
242	0.7667847745
243	0.7661215634
244	0.765711523
245	0.7651009357
246	0.7645491927
247	0.7641307589
248	0.7636836279
249	0.7631258345
250	0.7626451575
251	0.7621960596
252	0.7616872579
253	0.7612826833
254	0.7608255113
255	0.7602937163
256	0.7597597733
257	0.7592956407
258	0.7588883573
259	0.7584672738
260	0.7578654915
261	0.7573126346
262	0.7568879565
263	0.7564176492
264	0.7559996264
265	0.7555443044
266	0.7551518079
267	0.7546858144
268	0.7541197787
269	0.7537390004
270	0.7532309402
271	0.7528387419
272	0.7524736942
273	0.7520093674
274	0.7514782695
275	0.7509483394
276	0.750496846
277	0.750021315
278	0.7497586499
279	0.7493149789
280	0.7488584172
281	0.7483940982
282	0.747893123
283	0.7475100855
284	0.7470700793
285	0.746726074
286	0.746177611
287	0.7457371648
288	0.7452562796
289	0.7449185165
290	0.7444539959
291	0.7440552867
292	0.7436150674
293	0.7431839612
294	0.7428070535
295	0.7424089886
296	0.7420511282
297	0.7416832933
298	0.7413901341
299	0.7408355165
300	0.7403676431
301	0.7399238185
302	0.7395776831
303	0.7391766853
304	0.7388638087
305	0.7385439641
306	0.7380988743
307	0.7376231765
308	0.7372212344
309	0.7370055702
310	0.7365080328
311	0.7361546441
312	0.7358523757
313	0.7355328231
314	0.7350940916
315	0.734841049
316	0.7345733468
317	0.7342186074
318	0.7338777194
319	0.7334718936
320	0.7330899864
321	0.7327061281
322	0.7321939093
323	0.7317658087
324	0.7313555523
325	0.7311196952
326	0.7307642292
327	0.7305079416
328	0.7302728139
329	0.7297625135
330	0.7294495494
331	0.7290410352
332	0.7287077361
333	0.7281271709
334	0.7276220633
335	0.727163776
336	0.7268115636
337	0.7263517429
338	0.7259732277
339	0.7256744356
340	0.7251141494
341	0.7247783378
342	0.7243185105
343	0.7237385663
344	0.7234065123
345	0.7229778921
346	0.7226855297
347	0.7223531768
348	0.7219425148
349	0.7215891373
350	0.7211836592
351	0.7208327941
352	0.7204524652
353	0.7201251369
354	0.7197293791
355	0.7192369761
356	0.7188393776
357	0.7185439677
358	0.7180130062
359	0.7177245983
360	0.7174252443
361	0.7170936093
362	0.7168006722
363	0.7164554957
364	0.7161491438
365	0.7156727998
366	0.7153183165
367	0.7149240352
368	0.7146295286
369	0.7142793648
370	0.7139278816
371	0.7134659735
372	0.7132099864
373	0.7126937447
374	0.7122312825
375	0.7118896484
376	0.7114373323
377	0.711055742
378	0.7107582933
379	0.7105078144
380	0.7101184923
381	0.7097762494
382	0.7094642242
383	0.7090922498
384	0.7088189603
385	0.708402334
386	0.7080656624
387	0.7077338739
388	0.7074136224
389	0.7071256793
390	0.7068490534
391	0.7065479009
392	0.706337534
393	0.7060564729
394	0.7056896334
395	0.7052054139
396	0.7048910392
397	0.7046059088
398	0.7042341316
399	0.7039289127
400	0.7035247557
401	0.7032028272
402	0.7028656555
403	0.702646172
404	0.7024177364
405	0.7021514582
406	0.7017535634
407	0.701530227
408	0.701181433
409	0.7008861792
410	0.700527076
411	0.7002800544
412	0.6999187537
413	0.6997127981
414	0.6992460629
415	0.6989427879
416	0.6985751314
417	0.6981618903
418	0.6979046648
419	0.69748523
420	0.6971609547
421	0.6967455191
422	0.69648283
423	0.6960755766
424	0.6956872241
425	0.695391208
426	0.6951409634
427	0.6945699118
428	0.6942080132
429	0.6939498594
430	0.6937103797
431	0.6934005117
432	0.6931487391
433	0.6928337182
434	0.6924932907
435	0.6922787936
436	0.691975301
437	0.6915374796
438	0.6911564944
439	0.6909229302
440	0.6906315378
441	0.6902699379
442	0.6899171805
443	0.6896861368
444	0.6895177483
445	0.6891101999
446	0.688886631
447	0.6886469879
448	0.688437783
449	0.6882530197
450	0.6880076776
451	0.6877577199
452	0.6874309631
453	0.6870916569
454	0.6868588004
455	0.6865327917
456	0.6861235821
457	0.685763034
458	0.6856129794
459	0.6853623727
460	0.6850166658
461	0.6845118156
462	0.6842585265
463	0.6840176911
464	0.6837847624
465	0.6835432822
466	0.6832276908
467	0.6828184964
468	0.6826140272
469	0.6824224982
470	0.6820264529
471	0.681704927
472	0.6814824002
473	0.6810351169
474	0.680679207
475	0.68030109
476	0.6801261277
477	0.679786659
478	0.679556802
479	0.6793213698
480	0.6790621707
481	0.6787261173
482	0.6782641044
483	0.6780087889
484	0.6777002678
485	0.677361498
486	0.6770072148
487	0.6766194414
488	0.6762871647
489	0.6761256767
490	0.6759218515
491	0.6757666868
492	0.6755258593
493	0.6752439044
494	0.6749258243
495	0.6746016474
496	0.6742320681
497	0.6738468332
498	0.6735221025
499	0.6732499034
